Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
401165182,3323180344,2922015162,MPI_Init_thread,121,121,,1,,,,,
401478766,3323150579,2921671813,MPI_Init_thread,120,120,,0,,,,,
401695282,3323099135,2921403853,MPI_Init_thread,122,122,,2,,,,,
403784723,3323160245,2919375522,MPI_Init_thread,123,123,,3,,,,,
407190590,3323140072,2915949482,MPI_Init_thread,124,124,,4,,,,,
410680072,3323141792,2912461720,MPI_Init_thread,125,125,,5,,,,,
413625921,3323178424,2909552503,MPI_Init_thread,126,126,,6,,,,,
417962762,3323146990,2905184228,MPI_Init_thread,136,136,,7,,,,,
3323633855,3323871068,237213,MPI_Recv,136,136,0,7,3,,0.000,,
3323635584,3323941687,306103,MPI_Recv,124,124,0,4,0,,0.000,,
3323651877,3323796715,144838,MPI_Recv,126,126,0,6,2,,0.000,,
3323657952,3323718828,60876,MPI_Send,122,122,0,2,6,,0.000,,
3323666974,3323889403,222429,MPI_Recv,125,125,0,5,1,,0.000,,
3323720674,3323971281,250607,MPI_Recv,122,122,0,2,0,,0.000,,
3323729111,3323790123,61012,MPI_Send,123,123,0,3,7,,0.000,,
3323752101,3323805711,53610,MPI_Send,121,121,0,1,5,,0.000,,
3323789142,3323854739,65597,MPI_Send,120,120,0,0,4,,0.000,,
3323791737,3323886189,94452,MPI_Recv,123,123,0,3,1,,0.000,,
3323797803,3324020076,222273,MPI_Recv,126,126,0,6,4,,0.000,,
3323806130,3323813518,7388,MPI_Send,121,121,0,1,3,,0.000,,
3323818729,3323952182,133453,MPI_Recv,121,121,0,1,0,,0.000,,
3323855521,3323871116,15595,MPI_Send,120,120,0,0,2,,0.000,,
3323871756,3323877458,5702,MPI_Send,120,120,0,0,1,,0.000,,
3323872180,3323972799,100619,MPI_Recv,136,136,0,7,5,,0.000,,
3323886952,3323989505,102553,MPI_Recv,123,123,0,3,2,,0.000,,
3323947481,3323961357,13876,MPI_Send,125,125,0,5,7,,0.000,,
3323961783,3324028247,66464,MPI_Recv,125,125,0,5,4,,0.000,,
3323972728,3323981390,8662,MPI_Send,122,122,0,2,3,,0.000,,
3323973765,3324101220,127455,MPI_Recv,136,136,0,7,6,,0.000,,
3323999179,3324012594,13415,MPI_Send,124,124,0,4,6,,0.000,,
3324013106,3324018323,5217,MPI_Send,124,124,0,4,5,,0.000,,
3324079190,3324092283,13093,MPI_Send,126,126,0,6,7,,0.000,,
211787543543,211787636825,93282,MPI_Irecv,121,121,0,1,5,,12.500,,
211787640925,211787658923,17998,MPI_Irecv,121,121,0,1,3,,12.500,,
