Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
383784663,3658239324,3274454661,MPI_Init_thread,122,122,,1,,,,,
383824448,3658144203,3274319755,MPI_Init_thread,121,121,,0,,,,,
388795229,3658274053,3269478824,MPI_Init_thread,123,123,,2,,,,,
389216690,3658265692,3269049002,MPI_Init_thread,124,124,,3,,,,,
391380323,3658103924,3266723601,MPI_Init_thread,125,125,,4,,,,,
392994104,3658232885,3265238781,MPI_Init_thread,126,126,,5,,,,,
400039042,3658154521,3258115479,MPI_Init_thread,132,132,,6,,,,,
402539248,3658205167,3255665919,MPI_Init_thread,134,134,,7,,,,,
3658566574,3660324410,1757836,MPI_Recv,125,125,0,4,0,,0.000,,
3658677647,3660473106,1795459,MPI_Recv,132,132,0,6,2,,0.000,,
3658692405,3660388775,1696370,MPI_Recv,134,134,0,7,3,,0.000,,
3658713496,3660349147,1635651,MPI_Recv,126,126,0,5,1,,0.000,,
3658762420,3660238823,1476403,MPI_Send,121,121,0,0,4,,0.000,,
3658785847,3660300741,1514894,MPI_Send,122,122,0,1,5,,0.000,,
3658795707,3660293382,1497675,MPI_Send,124,124,0,3,7,,0.000,,
3658810095,3660393541,1583446,MPI_Send,123,123,0,2,6,,0.000,,
3660239992,3660247871,7879,MPI_Send,121,121,0,0,2,,0.000,,
3660248291,3660253876,5585,MPI_Send,121,121,0,0,1,,0.000,,
3660299430,3660406666,107236,MPI_Recv,124,124,0,3,1,,0.000,,
3660302101,3660308780,6679,MPI_Send,122,122,0,1,3,,0.000,,
3660310333,3660395890,85557,MPI_Recv,122,122,0,1,0,,0.000,,
3660388681,3660394588,5907,MPI_Send,125,125,0,4,6,,0.000,,
3660390003,3660420925,30922,MPI_Recv,134,134,0,7,5,,0.000,,
3660395006,3660396261,1255,MPI_Send,125,125,0,4,5,,0.000,,
3660395861,3660464435,68574,MPI_Recv,123,123,0,2,0,,0.000,,
3660407916,3660468002,60086,MPI_Recv,124,124,0,3,2,,0.000,,
3660413752,3660420477,6725,MPI_Send,126,126,0,5,7,,0.000,,
3660420894,3660424399,3505,MPI_Recv,126,126,0,5,4,,0.000,,
3660421518,3660564687,143169,MPI_Recv,134,134,0,7,6,,0.000,,
3660465562,3660467575,2013,MPI_Send,123,123,0,2,3,,0.000,,
3660474398,3660478130,3732,MPI_Recv,132,132,0,6,4,,0.000,,
3660557421,3660563921,6500,MPI_Send,132,132,0,6,7,,0.000,,
213229464217,213229722244,258027,MPI_Irecv,126,126,0,5,1,,12.500,,
213229724698,213229741262,16564,MPI_Irecv,126,126,0,5,7,,12.500,,
213229742354,213229755482,13128,MPI_Irecv,126,126,0,5,4,,12.500,,
213230010333,213232258559,2248226,MPI_Isend,126,126,0,5,1,,12.500,,
213232261511,213232347002,85491,MPI_Isend,126,126,0,5,7,,12.500,,
213232355429,213232391527,36098,MPI_Isend,126,126,0,5,4,,12.500,,
213232501856,215054243744,1821741888,MPI_Waitall,126,126,,5,,,,,
213447340979,213447608945,267966,MPI_Irecv,122,122,0,1,5,,12.500,,
213447610865,213447629519,18654,MPI_Irecv,122,122,0,1,3,,12.500,,
213447630370,213447650082,19712,MPI_Irecv,122,122,0,1,0,,12.500,,
213447954180,213450376499,2422319,MPI_Isend,122,122,0,1,5,,12.500,,
213450380676,213450441801,61125,MPI_Isend,122,122,0,1,3,,12.500,,
213450447911,213450502761,54850,MPI_Isend,122,122,0,1,0,,12.500,,
213450635408,215375444709,1924809301,MPI_Waitall,122,122,,1,,,,,
213775470267,213775724311,254044,MPI_Irecv,124,124,0,3,7,,12.500,,
213775728378,213775743828,15450,MPI_Irecv,124,124,0,3,1,,12.500,,
213775744518,213775756420,11902,MPI_Irecv,124,124,0,3,2,,12.500,,
213776016987,213778080545,2063558,MPI_Isend,124,124,0,3,7,,12.500,,
213778086164,213778138098,51934,MPI_Isend,124,124,0,3,1,,12.500,,
213778147290,213778182221,34931,MPI_Isend,124,124,0,3,2,,12.500,,
213778292650,215004849975,1226557325,MPI_Waitall,124,124,,3,,,,,
214928561735,214928845688,283953,MPI_Irecv,134,134,0,7,3,,12.500,,
214928850980,214928862976,11996,MPI_Irecv,134,134,0,7,5,,12.500,,
