API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
211394835138,265768,,,211395094641,864,265768,127,127,5,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
211395604503,40389,,,211395644203,8352,48052,127,127,5,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_x(const double *, double *, int, int, int, int, int)"
211395647020,21281,211395668301,1918,211395670219,23200,46399,127,127,5,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
211395670145,24901,211395695046,5637,211395700683,62047,92585,127,127,5,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
211485622175,242858,,,211485861564,992,242858,122,122,1,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
211486330693,54269,,,211486384537,8480,62324,122,122,1,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_x(const double *, double *, int, int, int, int, int)"
211486387147,22185,211486409332,709,211486410041,22624,45518,122,122,1,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
211486411257,26080,211486437337,3040,211486440377,62720,91840,122,122,1,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
211488563599,231498,,,211488792388,896,231498,124,124,3,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
211489178967,41401,,,211489216704,8352,46089,124,124,3,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_x(const double *, double *, int, int, int, int, int)"
211489222622,22171,211489244793,679,211489245472,23008,45858,124,124,3,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
211489246683,20528,211489267211,9301,211489276512,61919,91748,124,124,3,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
213028075041,261695,,,213028327440,864,261695,121,121,0,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
213028841258,45205,,,213028878860,8032,45634,121,121,0,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_x(const double *, double *, int, int, int, int, int)"
213028889493,31244,,,213028919852,22560,52919,121,121,0,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_y(const double *, double *, int, int, int, int, int)"
213028923331,28758,213028952089,339,213028952428,62143,91240,121,121,0,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
213037340828,61641,,,213037401539,8800,69511,122,122,1,cudaLaunchKernel,6104    1    1, 256    1    1,"<unnamed>::unpack_face_x(const double *, double *, int, int, int, int, int)"
