Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
449435402,3810406773,3360971371,MPI_Init_thread,121,121,,0,,,,,
451289976,3810229361,3358939385,MPI_Init_thread,122,122,,1,,,,,
453052201,3810248802,3357196601,MPI_Init_thread,123,123,,2,,,,,
455978729,3810311592,3354332863,MPI_Init_thread,124,124,,3,,,,,
459470927,3810288125,3350817198,MPI_Init_thread,125,125,,4,,,,,
466581146,3810442363,3343861217,MPI_Init_thread,127,127,,5,,,,,
467491739,3810343347,3342851608,MPI_Init_thread,132,132,,6,,,,,
469125250,3810266006,3341140756,MPI_Init_thread,137,137,,7,,,,,
3810762179,3812399621,1637442,MPI_Recv,137,137,0,7,3,,0.000,,
3810780324,3812525920,1745596,MPI_Recv,125,125,0,4,0,,0.000,,
3810806279,3812294272,1487993,MPI_Send,122,122,0,1,5,,0.000,,
3810819238,3812332016,1512778,MPI_Send,123,123,0,2,6,,0.000,,
3810827894,3812462925,1635031,MPI_Recv,132,132,0,6,2,,0.000,,
3810843723,3812351654,1507931,MPI_Send,124,124,0,3,7,,0.000,,
3810849842,3812387293,1537451,MPI_Recv,127,127,0,5,1,,0.000,,
3810983241,3812442577,1459336,MPI_Send,121,121,0,0,4,,0.000,,
3812295440,3812305357,9917,MPI_Send,122,122,0,1,3,,0.000,,
3812307762,3812558206,250444,MPI_Recv,122,122,0,1,0,,0.000,,
3812334093,3812545787,211694,MPI_Recv,123,123,0,2,0,,0.000,,
3812353956,3812421831,67875,MPI_Recv,124,124,0,3,1,,0.000,,
3812401200,3812447794,46594,MPI_Recv,137,137,0,7,5,,0.000,,
3812423351,3812550494,127143,MPI_Recv,124,124,0,3,2,,0.000,,
3812440981,3812446788,5807,MPI_Send,127,127,0,5,7,,0.000,,
3812443988,3812452051,8063,MPI_Send,121,121,0,0,2,,0.000,,
3812447515,3812625497,177982,MPI_Recv,127,127,0,5,4,,0.000,,
3812448889,3812698657,249768,MPI_Recv,137,137,0,7,6,,0.000,,
3812452559,3812460079,7520,MPI_Send,121,121,0,0,1,,0.000,,
3812464438,3812596913,132475,MPI_Recv,132,132,0,6,4,,0.000,,
3812547487,3812549623,2136,MPI_Send,123,123,0,2,3,,0.000,,
3812587129,3812594261,7132,MPI_Send,125,125,0,4,6,,0.000,,
3812594727,3812599175,4448,MPI_Send,125,125,0,4,5,,0.000,,
3812690433,3812697828,7395,MPI_Send,132,132,0,6,7,,0.000,,
211395308385,211395568383,259998,MPI_Irecv,127,127,0,5,1,,12.500,,
211395572697,211395588526,15829,MPI_Irecv,127,127,0,5,7,,12.500,,
211395589386,211395598225,8839,MPI_Irecv,127,127,0,5,4,,12.500,,
211395890076,211398091760,2201684,MPI_Isend,127,127,0,5,1,,12.500,,
211398094936,211398148662,53726,MPI_Isend,127,127,0,5,7,,12.500,,
211398158057,211398202853,44796,MPI_Isend,127,127,0,5,4,,12.500,,
211398307833,213156083042,1757775209,MPI_Waitall,127,127,,5,,,,,
211486065859,211486298928,233069,MPI_Irecv,122,122,0,1,5,,12.500,,
211486300536,211486315432,14896,MPI_Irecv,122,122,0,1,3,,12.500,,
