Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
389578091,3310377450,2920799359,MPI_Init_thread,122,122,,1,,,,,
389689543,3310387779,2920698236,MPI_Init_thread,121,121,,0,,,,,
395442335,3310491654,2915049319,MPI_Init_thread,123,123,,2,,,,,
396593721,3310355870,2913762149,MPI_Init_thread,124,124,,3,,,,,
400773727,3310407959,2909634232,MPI_Init_thread,125,125,,4,,,,,
403570809,3310501784,2906930975,MPI_Init_thread,126,126,,5,,,,,
407465024,3310474464,2903009440,MPI_Init_thread,133,133,,6,,,,,
410029753,3310311776,2900282023,MPI_Init_thread,134,134,,7,,,,,
3310754664,3311142308,387644,MPI_Recv,134,134,0,7,3,,0.000,,
3310950829,3311224815,273986,MPI_Recv,125,125,0,4,0,,0.000,,
3310951396,3311172581,221185,MPI_Recv,133,133,0,6,2,,0.000,,
3310972890,3311049230,76340,MPI_Send,124,124,0,3,7,,0.000,,
3310988318,3311165145,176827,MPI_Recv,126,126,0,5,1,,0.000,,
3311002843,3311080097,77254,MPI_Send,122,122,0,1,5,,0.000,,
3311024940,3311089784,64844,MPI_Send,123,123,0,2,6,,0.000,,
3311051248,3311173101,121853,MPI_Recv,124,124,0,3,1,,0.000,,
3311057576,3311134581,77005,MPI_Send,121,121,0,0,4,,0.000,,
3311081254,3311098563,17309,MPI_Send,122,122,0,1,3,,0.000,,
3311091684,3311219322,127638,MPI_Recv,123,123,0,2,0,,0.000,,
3311106092,3311237536,131444,MPI_Recv,122,122,0,1,0,,0.000,,
3311135263,3311145112,9849,MPI_Send,121,121,0,0,2,,0.000,,
3311143646,3311251786,108140,MPI_Recv,134,134,0,7,5,,0.000,,
3311145387,3311152069,6682,MPI_Send,121,121,0,0,1,,0.000,,
3311173617,3311312029,138412,MPI_Recv,133,133,0,6,4,,0.000,,
3311174290,3311239583,65293,MPI_Recv,124,124,0,3,2,,0.000,,
3311222470,3311230491,8021,MPI_Send,123,123,0,2,3,,0.000,,
3311226610,3311240775,14165,MPI_Send,126,126,0,5,7,,0.000,,
3311241294,3311319316,78022,MPI_Recv,126,126,0,5,4,,0.000,,
3311252586,3311421810,169224,MPI_Recv,134,134,0,7,6,,0.000,,
3311287973,3311304070,16097,MPI_Send,125,125,0,4,6,,0.000,,
3311304506,3311309648,5142,MPI_Send,125,125,0,4,5,,0.000,,
3311397146,3311412318,15172,MPI_Send,133,133,0,6,7,,0.000,,
211434517077,211434603068,85991,MPI_Irecv,126,126,0,5,1,,12.500,,
211434605489,211434621960,16471,MPI_Irecv,126,126,0,5,7,,12.500,,
211434622716,211434632843,10127,MPI_Irecv,126,126,0,5,4,,12.500,,
211435652084,211435778003,125919,MPI_Isend,126,126,0,5,1,,12.500,,
211435778675,211435800327,21652,MPI_Isend,126,126,0,5,7,,12.500,,
211435804688,211435819877,15189,MPI_Isend,126,126,0,5,4,,12.500,,
211435904840,213096203738,1660298898,MPI_Waitall,126,126,,5,,,,,
211487407570,211487493189,85619,MPI_Irecv,124,124,0,3,7,,12.500,,
211487495188,211487511970,16782,MPI_Irecv,124,124,0,3,1,,12.500,,
211487512822,211487532541,19719,MPI_Irecv,124,124,0,3,2,,12.500,,
211488534607,211488640164,105557,MPI_Isend,124,124,0,3,7,,12.500,,
211488641176,211488660194,19018,MPI_Isend,124,124,0,3,1,,12.500,,
211488663163,211488681613,18450,MPI_Isend,124,124,0,3,2,,12.500,,
211488761275,213185472995,1696711720,MPI_Waitall,124,124,,3,,,,,
211654237047,211654320581,83534,MPI_Irecv,122,122,0,1,5,,12.500,,
211654321970,211654338405,16435,MPI_Irecv,122,122,0,1,3,,12.500,,
211654339284,211654373763,34479,MPI_Irecv,122,122,0,1,0,,12.500,,
211655396877,211655484008,87131,MPI_Isend,122,122,0,1,5,,12.500,,
211655487061,211655502593,15532,MPI_Isend,122,122,0,1,3,,12.500,,
211655508145,211655522442,14297,MPI_Isend,122,122,0,1,0,,12.500,,
211655600779,213509304007,1853703228,MPI_Waitall,122,122,,1,,,,,
212901891876,212901982169,90293,MPI_Irecv,134,134,0,7,3,,12.500,,
212901984282,212902000009,15727,MPI_Irecv,134,134,0,7,5,,12.500,,
212902000884,212902015621,14737,MPI_Irecv,134,134,0,7,6,,12.500,,
212902995386,212903119212,123826,MPI_Isend,134,134,0,7,3,,12.500,,
212903123621,212903142635,19014,MPI_Isend,134,134,0,7,5,,12.500,,
212903147341,212903168984,21643,MPI_Isend,134,134,0,7,6,,12.500,,
212903302962,213259994629,356691667,MPI_Waitall,134,134,,7,,,,,
213092177291,213092267284,89993,MPI_Irecv,125,125,0,4,0,,12.500,,
213092268609,213092285811,17202,MPI_Irecv,125,125,0,4,6,,12.500,,
213092286549,213092301561,15012,MPI_Irecv,125,125,0,4,5,,12.500,,
213093319719,213093455478,135759,MPI_Isend,125,125,0,4,0,,12.500,,
213093456451,213093477467,21016,MPI_Isend,125,125,0,4,6,,12.500,,
213093480679,213093494310,13631,MPI_Isend,125,125,0,4,5,,12.500,,
213093564174,213509588096,416023922,MPI_Waitall,125,125,,4,,,,,
213096294592,213097353667,1059075,MPI_Waitall,126,126,,5,,,,,
213181474139,213181568825,94686,MPI_Irecv,123,123,0,2,6,,12.500,,
213181572734,213181585650,12916,MPI_Irecv,123,123,0,2,0,,12.500,,
213181586050,213181596522,10472,MPI_Irecv,123,123,0,2,3,,12.500,,
213182564599,213182660266,95667,MPI_Isend,123,123,0,2,6,,12.500,,
213182661066,213182686614,25548,MPI_Isend,123,123,0,2,0,,12.500,,
213182689686,213182705800,16114,MPI_Isend,123,123,0,2,3,,12.500,,
213182788046,213509312984,326524938,MPI_Waitall,123,123,,2,,,,,
213185552973,213185870734,317761,MPI_Waitall,124,124,,3,,,,,
213255934519,213256013302,78783,MPI_Irecv,133,133,0,6,2,,12.500,,
213256014625,213256027538,12913,MPI_Irecv,133,133,0,6,4,,12.500,,
213256028094,213256046343,18249,MPI_Irecv,133,133,0,6,7,,12.500,,
213257031059,213257129574,98515,MPI_Isend,133,133,0,6,2,,12.500,,
213257130575,213257148386,17811,MPI_Isend,133,133,0,6,4,,12.500,,
213257151812,213257168066,16254,MPI_Isend,133,133,0,6,7,,12.500,,
213257240594,213267641883,10401289,MPI_Waitall,133,133,,6,,,,,
213260090002,213260557046,467044,MPI_Waitall,134,134,,7,,,,,
213267648620,213267652303,3683,MPI_Waitall,133,133,,6,,,,,
213504973000,213505071209,98209,MPI_Irecv,121,121,0,0,4,,12.500,,
213505073945,213505084584,10639,MPI_Irecv,121,121,0,0,2,,12.500,,
213505085138,213505099070,13932,MPI_Irecv,121,121,0,0,1,,12.500,,
213506058518,213506190912,132394,MPI_Isend,121,121,0,0,4,,12.500,,
213506191814,213506210298,18484,MPI_Isend,121,121,0,0,2,,12.500,,
213506214877,213506231860,16983,MPI_Isend,121,121,0,0,1,,12.500,,
213506326557,213516812664,10486107,MPI_Waitall,121,121,,0,,,,,
213509402779,213510046705,643926,MPI_Waitall,122,122,,1,,,,,
213509410541,213516797276,7386735,MPI_Waitall,123,123,,2,,,,,
213509675385,213513435167,3759782,MPI_Waitall,125,125,,4,,,,,
213516817980,213516821262,3282,MPI_Waitall,121,121,,0,,,,,
218367594187,218781913904,414319717,MPI_Barrier,126,126,,5,,,,,
218367973210,218781920236,413947026,MPI_Barrier,124,124,,3,,,,,
218573460868,218781925459,208464591,MPI_Barrier,134,134,,7,,,,,
218620184044,218781923198,161739154,MPI_Barrier,133,133,,6,,,,,
218686282722,218781908351,95625629,MPI_Barrier,122,122,,1,,,,,
218723576789,218781906114,58329325,MPI_Barrier,125,125,,4,,,,,
218768049474,218781916271,13866797,MPI_Barrier,123,123,,2,,,,,
