Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
384379790,3310428868,2926049078,MPI_Init_thread,121,121,,0,,,,,
384758159,3310525603,2925767444,MPI_Init_thread,122,122,,1,,,,,
386970657,3310488092,2923517435,MPI_Init_thread,123,123,,2,,,,,
391280213,3310425463,2919145250,MPI_Init_thread,124,124,,3,,,,,
394840520,3310372901,2915532381,MPI_Init_thread,125,125,,4,,,,,
397366829,3310445392,2913078563,MPI_Init_thread,127,127,,5,,,,,
403019852,3310471344,2907451492,MPI_Init_thread,135,135,,6,,,,,
404453899,3310539497,2906085598,MPI_Init_thread,137,137,,7,,,,,
3310878516,3311180148,301632,MPI_Recv,125,125,0,4,0,,0.000,,
3310947391,3311184530,237139,MPI_Recv,135,135,0,6,2,,0.000,,
3310965840,3311120274,154434,MPI_Recv,137,137,0,7,3,,0.000,,
3310965886,3311198762,232876,MPI_Recv,127,127,0,5,1,,0.000,,
3310975507,3311042743,67236,MPI_Send,124,124,0,3,7,,0.000,,
3311032883,3311090516,57633,MPI_Send,121,121,0,0,4,,0.000,,
3311039130,3311090404,51274,MPI_Send,123,123,0,2,6,,0.000,,
3311048248,3311112761,64513,MPI_Send,122,122,0,1,5,,0.000,,
3311048940,3311204510,155570,MPI_Recv,124,124,0,3,1,,0.000,,
3311091183,3311101149,9966,MPI_Send,121,121,0,0,2,,0.000,,
3311091506,3311188020,96514,MPI_Recv,123,123,0,2,0,,0.000,,
3311102034,3311115201,13167,MPI_Send,121,121,0,0,1,,0.000,,
3311113471,3311122673,9202,MPI_Send,122,122,0,1,3,,0.000,,
3311121360,3311282438,161078,MPI_Recv,137,137,0,7,5,,0.000,,
3311124211,3311218583,94372,MPI_Recv,122,122,0,1,0,,0.000,,
3311185600,3311261927,76327,MPI_Recv,135,135,0,6,4,,0.000,,
3311188994,3311198261,9267,MPI_Send,123,123,0,2,3,,0.000,,
3311205185,3311218572,13387,MPI_Recv,124,124,0,3,2,,0.000,,
3311239630,3311254091,14461,MPI_Send,125,125,0,4,6,,0.000,,
3311253546,3311270782,17236,MPI_Send,127,127,0,5,7,,0.000,,
3311254462,3311261247,6785,MPI_Send,125,125,0,4,5,,0.000,,
3311271486,3311284435,12949,MPI_Recv,127,127,0,5,4,,0.000,,
3311283399,3311361678,78279,MPI_Recv,137,137,0,7,6,,0.000,,
3311330993,3311350116,19123,MPI_Send,135,135,0,6,7,,0.000,,
211507256208,211507342817,86609,MPI_Irecv,127,127,0,5,1,,12.500,,
211507345018,211507356324,11306,MPI_Irecv,127,127,0,5,7,,12.500,,
211507356745,211507374946,18201,MPI_Irecv,127,127,0,5,4,,12.500,,
211508393063,211508489057,95994,MPI_Isend,127,127,0,5,1,,12.500,,
211508489862,211508504590,14728,MPI_Isend,127,127,0,5,7,,12.500,,
211508510511,211508526688,16177,MPI_Isend,127,127,0,5,4,,12.500,,
211508620160,213744190033,2235569873,MPI_Waitall,127,127,,5,,,,,
211743120740,211743201585,80845,MPI_Irecv,124,124,0,3,7,,12.500,,
211743203211,211743219429,16218,MPI_Irecv,124,124,0,3,1,,12.500,,
211743220108,211743234912,14804,MPI_Irecv,124,124,0,3,2,,12.500,,
211744248217,211744345588,97371,MPI_Isend,124,124,0,3,7,,12.500,,
211744346282,211744363538,17256,MPI_Isend,124,124,0,3,1,,12.500,,
211744366580,211744382216,15636,MPI_Isend,124,124,0,3,2,,12.500,,
211744457380,213744984076,2000526696,MPI_Waitall,124,124,,3,,,,,
211892547048,211892619757,72709,MPI_Irecv,122,122,0,1,5,,12.500,,
211892621077,211892637691,16614,MPI_Irecv,122,122,0,1,3,,12.500,,
211892638431,211892656167,17736,MPI_Irecv,122,122,0,1,0,,12.500,,
211893636415,211893727284,90869,MPI_Isend,122,122,0,1,5,,12.500,,
211893728102,211893750915,22813,MPI_Isend,122,122,0,1,3,,12.500,,
211893754087,211893770199,16112,MPI_Isend,122,122,0,1,0,,12.500,,
211893846936,213476886841,1583039905,MPI_Waitall,122,122,,1,,,,,
213293374758,213293479941,105183,MPI_Irecv,135,135,0,6,2,,12.500,,
213293484611,213293502596,17985,MPI_Irecv,135,135,0,6,4,,12.500,,
213293503397,213293513911,10514,MPI_Irecv,135,135,0,6,7,,12.500,,
213294571739,213294707485,135746,MPI_Isend,135,135,0,6,2,,12.500,,
213294708395,213294726105,17710,MPI_Isend,135,135,0,6,4,,12.500,,
213294730433,213294755183,24750,MPI_Isend,135,135,0,6,7,,12.500,,
213294836075,213744687374,449851299,MPI_Waitall,135,135,,6,,,,,
213322833234,213322916789,83555,MPI_Irecv,125,125,0,4,0,,12.500,,
213322918275,213322938964,20689,MPI_Irecv,125,125,0,4,6,,12.500,,
213322939826,213322965875,26049,MPI_Irecv,125,125,0,4,5,,12.500,,
213323955195,213324061460,106265,MPI_Isend,125,125,0,4,0,,12.500,,
213324064786,213324086065,21279,MPI_Isend,125,125,0,4,6,,12.500,,
213324089206,213324111784,22578,MPI_Isend,125,125,0,4,5,,12.500,,
213324189965,213476915747,152725782,MPI_Waitall,125,125,,4,,,,,
213472580086,213472652675,72589,MPI_Irecv,121,121,0,0,4,,12.500,,
213472654055,213472665373,11318,MPI_Irecv,121,121,0,0,2,,12.500,,
213472665923,213472691753,25830,MPI_Irecv,121,121,0,0,1,,12.500,,
213473646097,213473752577,106480,MPI_Isend,121,121,0,0,4,,12.500,,
213473753663,213473778511,24848,MPI_Isend,121,121,0,0,2,,12.500,,
213473782725,213473799011,16286,MPI_Isend,121,121,0,0,1,,12.500,,
213473876116,213502278590,28402474,MPI_Waitall,121,121,,0,,,,,
213476968510,213477354078,385568,MPI_Waitall,122,122,,1,,,,,
213477007553,213480907682,3900129,MPI_Waitall,125,125,,4,,,,,
213497808146,213497916350,108204,MPI_Irecv,123,123,0,2,6,,12.500,,
213497917621,213497930659,13038,MPI_Irecv,123,123,0,2,0,,12.500,,
