dir,case,samples,ndiff,gpu_time_mean_s,gpu_sups_mean
awave-cw2-perf-a100-4g,size1024,2,0,0.02015355,133195000000.0
awave-cw2-perf-a100-4g,size1536,2,0,0.0239622,134430500000.0
awave-cw2-perf-a100-4g,size2048,2,0,0.01782695,135522000000.0
awave-cw2-perf-a100-4g,size2500,2,0,0.00925123,141682500000.0
awave-cw2-perf-a100-4g,strong_np1,2,0,0.1289285,35134600000.0
awave-cw2-perf-a100-4g,strong_np2,2,0,0.06538095,69285700000.0
awave-cw2-perf-a100-4g,strong_np4,2,0,0.0335904,134855500000.0
awave-cw2-perf-a100-4g,weak_np1,4,0,0.0048528275,34572575000.0
awave-cw2-perf-a100-4g,weak_np2,4,0,0.005182805,64743525000.0
awave-cw2-perf-a100-4g,weak_np4,3,0,0.005463816666666666,122849333333.33333
awave-cw2-perf-a100-8g,size1024,2,0,0.0350547,183650500000.0
awave-cw2-perf-a100-8g,size1536,2,0,0.0382081,191581500000.0
awave-cw2-perf-a100-8g,size2048,2,0,0.0373089,194265000000.0
awave-cw2-perf-a100-8g,size2500,2,0,0.022873325,153970450000.0
awave-cw2-perf-a100-8g,strong_np1,2,0,0.149899,30222600000.0
awave-cw2-perf-a100-8g,strong_np2,2,0,0.0776376,58379800000.0
awave-cw2-perf-a100-8g,strong_np4,2,0,0.04074595,113087050000.0
awave-cw2-perf-a100-8g,strong_np8,2,0,0.0346227,175834550000.0
awave-cw2-perf-a100-8g,weak_np1,4,0,0.00519171,32321950000.0
awave-cw2-perf-a100-8g,weak_np2,4,0,0.0070462375,54447325000.0
awave-cw2-perf-a100-8g,weak_np4,3,0,0.010388236666666667,93736666666.66667
awave-cw2-perf-a100-8g,weak_np8,2,0,0.019546960000000002,140835750000.0
awave-cw2-perf-h100-4g,size1024,2,0,0.0221791,165838100000.0
awave-cw2-perf-h100-4g,size1536,2,0,0.025042,170268500000.0
awave-cw2-perf-h100-4g,size2048,2,0,0.020918390000000002,166572450000.0
awave-cw2-perf-h100-4g,size2500,2,0,0.01723516,151072200000.0
awave-cw2-perf-h100-4g,strong_np1,2,0,0.0809043,55990400000.0
awave-cw2-perf-h100-4g,strong_np2,2,0,0.04587235,100051500000.0
awave-cw2-perf-h100-4g,strong_np4,2,0,0.0304123,176727000000.0
awave-cw2-perf-h100-4g,weak_np1,4,0,0.0028037975,59972275000.0
awave-cw2-perf-h100-4g,weak_np2,4,0,0.0052307175,95289950000.0
awave-cw2-perf-h100-4g,weak_np4,3,0,0.01104318,159487466666.66666
awave-cw2-perf-h100-4g-pq,size1024,2,0,0.01061775,252818000000.0
awave-cw2-perf-h100-4g-pq,size1536,2,0,0.01257285,256205500000.0
awave-cw2-perf-h100-4g-pq,size2048,2,0,0.009112869999999999,265111500000.0
awave-cw2-perf-h100-4g-pq,size2500,2,0,0.00476789,274907500000.0
awave-cw2-perf-h100-4g-pq,strong_np1,2,0,0.0679247,66689250000.0
awave-cw2-perf-h100-4g-pq,strong_np2,2,0,0.04164665,108875000000.0
awave-cw2-perf-h100-4g-pq,strong_np4,2,0,0.01777375,254862000000.0
awave-cw2-perf-h100-4g-pq,weak_np1,4,0,0.00325347,56921025000.0
awave-cw2-perf-h100-4g-pq,weak_np2,4,0,0.002875485,116692750000.0
awave-cw2-perf-h100-4g-pq,weak_np4,3,0,0.003246783333333333,206696666666.66666
awave-cw2-perf-h100-8g,size1024,2,0,0.037142749999999995,290689800000.0
awave-cw2-perf-h100-8g,size1536,2,0,0.03934475,299408700000.0
awave-cw2-perf-h100-8g,size2048,2,0,0.0399202,299623650000.0
awave-cw2-perf-h100-8g,size2500,2,0,0.03036619,263584700000.0
awave-cw2-perf-h100-8g,strong_np1,2,0,0.08084285,56032800000.0
awave-cw2-perf-h100-8g,strong_np2,2,0,0.043528449999999996,104539600000.0
awave-cw2-perf-h100-8g,strong_np4,2,0,0.02845495,182186000000.0
awave-cw2-perf-h100-8g,strong_np8,2,0,0.03576496,283181100000.0
awave-cw2-perf-h100-8g,weak_np1,4,0,0.002783035,60338050000.0
awave-cw2-perf-h100-8g,weak_np2,4,0,0.0048318425,97945975000.0
awave-cw2-perf-h100-8g,weak_np4,3,0,0.009632139999999999,164065966666.66666
awave-cw2-perf-h100-8g,weak_np8,2,0,0.02863777,233391750000.0
