Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
802131508,2628763710,1826632202,MPI_Init_thread,111,111,,4,,,,,
802430654,2628834542,1826403888,MPI_Init_thread,107,107,,0,,,,,
802772169,2628610977,1825838808,MPI_Init_thread,110,110,,3,,,,,
803454879,2628615475,1825160596,MPI_Init_thread,108,108,,1,,,,,
804060804,2628706474,1824645670,MPI_Init_thread,109,109,,2,,,,,
805779390,2628682108,1822902718,MPI_Init_thread,112,112,,5,,,,,
806389214,2628682018,1822292804,MPI_Init_thread,113,113,,6,,,,,
810634496,2628581361,1817946865,MPI_Init_thread,114,114,,7,,,,,
2629511490,2630140610,629120,MPI_Recv,113,113,0,6,2,,0.000,,
2629530275,2629830924,300649,MPI_Recv,114,114,0,7,3,,0.000,,
2629582673,2629647072,64399,MPI_Send,110,110,0,3,7,,0.000,,
2629654606,2629949114,294508,MPI_Recv,110,110,0,3,1,,0.000,,
2629681887,2630522810,840923,MPI_Recv,111,111,0,4,0,,0.000,,
2629688399,2629757487,69088,MPI_Send,108,108,0,1,5,,0.000,,
2629690152,2629953873,263721,MPI_Recv,112,112,0,5,1,,0.000,,
2629758289,2629768688,10399,MPI_Send,108,108,0,1,3,,0.000,,
2629779389,2630548609,769220,MPI_Recv,108,108,0,1,0,,0.000,,
2629831926,2630159455,327529,MPI_Recv,114,114,0,7,5,,0.000,,
2629862853,2629950036,87183,MPI_Send,109,109,0,2,6,,0.000,,
2629950086,2630550903,600817,MPI_Recv,110,110,0,3,2,,0.000,,
2629953222,2630516839,563617,MPI_Recv,109,109,0,2,0,,0.000,,
2630116886,2630146951,30065,MPI_Send,112,112,0,5,7,,0.000,,
2630142082,2630703075,560993,MPI_Recv,113,113,0,6,4,,0.000,,
2630147462,2630713585,566123,MPI_Recv,112,112,0,5,4,,0.000,,
2630160487,2630902416,741929,MPI_Recv,114,114,0,7,6,,0.000,,
2630202965,2630325593,122628,MPI_Send,107,107,0,0,4,,0.000,,
2630326675,2630341102,14427,MPI_Send,107,107,0,0,2,,0.000,,
2630341433,2630350770,9337,MPI_Send,107,107,0,0,1,,0.000,,
2630518212,2630537528,19316,MPI_Send,109,109,0,2,3,,0.000,,
2630658673,2630688658,29985,MPI_Send,111,111,0,4,6,,0.000,,
2630689280,2630698557,9277,MPI_Send,111,111,0,4,5,,0.000,,
2630864054,2630890644,26590,MPI_Send,113,113,0,6,7,,0.000,,
9828988119,10186932629,357944510,MPI_Barrier,107,107,,0,,,,,
9856686260,10186972924,330286664,MPI_Barrier,108,108,,1,,,,,
9915636799,10186940594,271303795,MPI_Barrier,114,114,,7,,,,,
9985911520,10186919224,201007704,MPI_Barrier,109,109,,2,,,,,
10083176527,10186969107,103792580,MPI_Barrier,112,112,,5,,,,,
10085865475,10186930465,101064990,MPI_Barrier,111,111,,4,,,,,
10183892658,10186940855,3048197,MPI_Barrier,110,110,,3,,,,,
10186792078,10186916409,124331,MPI_Barrier,113,113,,6,,,,,
10186924254,10187135796,211542,MPI_Barrier,113,113,,6,,,,,
10186948329,10187129895,181566,MPI_Barrier,110,110,,3,,,,,
10187017957,10187135546,117589,MPI_Barrier,109,109,,2,,,,,
