API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
8972679605,292101,,,8972969916,1504,292101,120,120,0,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
8973542522,37061,8973579583,3067,8973582650,2976,43104,120,120,0,cudaLaunchKernel,   1    2    2,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973582288,21580,8973603868,2910,8973606778,3232,27722,120,120,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973605562,18134,8973623696,2954,8973626650,3232,24320,120,120,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973625128,21921,8973647049,593,8973647642,3008,25522,120,120,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973658231,6913,8973665144,3170,8973668314,3040,13123,120,120,0,cudaLaunchKernel,   1    2    2,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973665846,4458,8973670304,2682,8973672986,2816,9956,120,120,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973670855,4178,8973675033,4097,8973679130,2784,11059,120,120,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8973675694,4268,8973679962,4256,8973684218,2848,11372,120,120,0,cudaLaunchKernel,   1    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8984957362,19366,8984976728,547,8984977275,405759,425672,120,120,0,cudaLaunchKernel,   8   64   64,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8984988841,7083,8984995924,381958,8985377882,10880,399921,120,120,0,cudaLaunchKernel, 512    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8984996716,4788,8985001504,388666,8985390170,8864,402318,120,120,0,cudaLaunchKernel, 508    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985002196,4118,8985006314,394256,8985400570,51039,449413,120,120,0,cudaLaunchKernel, 505    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985012346,4508,8985016854,436291,8985453145,407999,848798,120,120,0,cudaLaunchKernel,   8   64   64,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985456363,5670,8985462033,394983,8985857016,8448,409101,120,120,0,cudaLaunchKernel, 512    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985462624,4118,8985466742,400162,8985866904,11456,415736,120,120,0,cudaLaunchKernel, 508    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985467303,4018,8985471321,408351,8985879672,50016,462385,120,120,0,cudaLaunchKernel, 505    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985475739,4348,8985480087,451169,8985931256,410079,865596,120,120,0,cudaLaunchKernel,   8   64   64,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985935346,8376,8985943722,394285,8986338007,9152,411813,120,120,0,cudaLaunchKernel, 512    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985944283,3857,8985948140,400299,8986348439,8768,412924,120,120,0,cudaLaunchKernel, 508    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985948661,4148,8985952809,405934,8986358743,50240,460322,120,120,0,cudaLaunchKernel, 505    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8985957598,4209,8985961807,448584,8986410391,424511,877304,120,120,0,cudaLaunchKernel,   8   64   64,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986412806,3888,8986416694,413888,8986830582,8640,426416,120,120,0,cudaLaunchKernel, 512    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986417155,3686,8986420841,419853,8986840694,8864,432403,120,120,0,cudaLaunchKernel, 508    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986421312,3697,8986425009,425861,8986850870,50559,480117,120,120,0,cudaLaunchKernel, 505    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986428055,3628,8986431683,471122,8986902805,418239,892989,120,120,0,cudaLaunchKernel,   8   64   64,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986913952,6593,8986920545,393011,8987313556,9376,408980,120,120,0,cudaLaunchKernel, 512    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986921086,3787,8986924873,399531,8987324404,11136,414454,120,120,0,cudaLaunchKernel, 508    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986925354,5179,8986930533,406543,8987337076,50432,462154,120,120,0,cudaLaunchKernel, 505    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8986934811,4008,8986938819,450033,8987388852,412159,866200,120,120,0,cudaLaunchKernel,   8   64   64,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8987392024,4789,8987396813,398566,8987795379,8544,411899,120,120,0,cudaLaunchKernel, 512    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8987397274,3937,8987401211,404056,8987805267,8896,416889,120,120,0,cudaLaunchKernel, 508    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
8987401682,4999,8987406681,409050,8987815731,50592,464641,120,120,0,cudaLaunchKernel, 505    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double)"
