Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
439319642,1193793593,754473951,MPI_Init_thread,118,118,,0,,,,,
445378460,1193868995,748490535,MPI_Init_thread,119,119,,1,,,,,
1194262287,1197850755,3588468,MPI_Recv,119,119,0,1,0,,0.000,,
1194324033,1197755655,3431622,MPI_Send,118,118,0,0,1,,0.000,,
157577887742,157578025101,137359,MPI_Irecv,118,118,0,0,1,,18.000,,
157578296273,157580957913,2661640,MPI_Isend,118,118,0,0,1,,18.000,,
157580995423,157590462660,9467237,MPI_Waitall,118,118,,0,,,,,
157584670775,157584826008,155233,MPI_Irecv,119,119,0,1,0,,18.000,,
157585114362,157587853037,2738675,MPI_Isend,119,119,0,1,0,,18.000,,
157587897963,157590196598,2298635,MPI_Waitall,119,119,,1,,,,,
157590199593,157590453122,253529,MPI_Waitall,119,119,,1,,,,,
157590464694,157590466547,1853,MPI_Waitall,118,118,,0,,,,,
157594948912,157595240091,291179,MPI_Barrier,118,118,,0,,,,,
157595210345,157595242225,31880,MPI_Barrier,119,119,,1,,,,,
157595245481,157595247715,2234,MPI_Barrier,118,118,,0,,,,,
157595246603,157595247935,1332,MPI_Barrier,119,119,,1,,,,,
157595277903,157595279265,1362,MPI_Irecv,118,118,0,0,1,,18.000,,
157595294534,157595295606,1072,MPI_Irecv,119,119,0,1,0,,18.000,,
157595492277,157595515741,23464,MPI_Isend,118,118,0,0,1,,18.000,,
157595499330,157595517775,18445,MPI_Isend,119,119,0,1,0,,18.000,,
157595517193,157595679550,162357,MPI_Waitall,118,118,,0,,,,,
157595519167,157595676995,157828,MPI_Waitall,119,119,,1,,,,,
157595677456,157595678648,1192,MPI_Waitall,119,119,,1,,,,,
157595680301,157595681363,1062,MPI_Waitall,118,118,,0,,,,,
157595709887,157595710528,641,MPI_Irecv,119,119,0,1,0,,18.000,,
157595712402,157595713043,641,MPI_Irecv,118,118,0,0,1,,18.000,,
157689416641,157689544442,127801,MPI_Isend,119,119,0,1,0,,18.000,,
157689440225,157689550914,110689,MPI_Isend,118,118,0,0,1,,18.000,,
157689549050,157689753937,204887,MPI_Waitall,119,119,,1,,,,,
157689554190,157689754758,200568,MPI_Waitall,118,118,,0,,,,,
157689754377,157689755540,1163,MPI_Waitall,119,119,,1,,,,,
157689755419,157689756572,1153,MPI_Waitall,118,118,,0,,,,,
157689825141,157689827225,2084,MPI_Irecv,118,118,0,0,1,,18.000,,
157689827976,157689829960,1984,MPI_Irecv,119,119,0,1,0,,18.000,,
157692541885,157692548878,6993,MPI_Isend,118,118,0,0,1,,18.000,,
157692549590,157738408105,45858515,MPI_Waitall,118,118,,0,,,,,
157738159857,157738198029,38172,MPI_Isend,119,119,0,1,0,,18.000,,
