Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
477318083,1524212688,1046894605,MPI_Init_thread,120,120,,2,,,,,
477450040,1524240519,1046790479,MPI_Init_thread,119,119,,1,,,,,
477925174,1524137738,1046212564,MPI_Init_thread,118,118,,0,,,,,
484594725,1524120315,1039525590,MPI_Init_thread,121,121,,3,,,,,
1524628361,1528468663,3840302,MPI_Recv,121,121,0,3,1,,0.000,,
1524712168,1528634041,3921873,MPI_Recv,120,120,0,2,0,,0.000,,
1524752853,1528413941,3661088,MPI_Send,119,119,0,1,3,,0.000,,
1524808698,1528579951,3771253,MPI_Send,118,118,0,0,2,,0.000,,
1528416787,1528617310,200523,MPI_Recv,119,119,0,1,0,,0.000,,
1528470727,1528666381,195654,MPI_Recv,121,121,0,3,2,,0.000,,
1528581293,1528598555,17262,MPI_Send,118,118,0,0,1,,0.000,,
1528659077,1528665199,6122,MPI_Send,120,120,0,2,3,,0.000,,
24062540948,24062726854,185906,MPI_Irecv,121,121,0,3,1,,4.000,,
24062729719,24062744287,14568,MPI_Irecv,121,121,0,3,2,,4.000,,
24062927749,24065959343,3031594,MPI_Isend,121,121,0,3,1,,4.000,,
24065961157,24066016521,55364,MPI_Isend,121,121,0,3,2,,4.000,,
24066099245,24226806109,160706864,MPI_Waitall,121,121,,3,,,,,
24115679234,24115861293,182059,MPI_Irecv,118,118,0,0,2,,4.000,,
24115863457,24115873195,9738,MPI_Irecv,118,118,0,0,1,,4.000,,
24116050466,24120011411,3960945,MPI_Isend,118,118,0,0,2,,4.000,,
24120013475,24120070451,56976,MPI_Isend,118,118,0,0,1,,4.000,,
24120144269,24223594287,103450018,MPI_Waitall,118,118,,0,,,,,
24142906798,24143088055,181257,MPI_Irecv,119,119,0,1,3,,4.000,,
24143093055,24143105578,12523,MPI_Irecv,119,119,0,1,0,,4.000,,
24143315840,24146348848,3033008,MPI_Isend,119,119,0,1,3,,4.000,,
24146351523,24146456238,104715,MPI_Isend,119,119,0,1,0,,4.000,,
24146543420,24150130230,3586810,MPI_Waitall,119,119,,1,,,,,
24150132314,24151811080,1678766,MPI_Waitall,119,119,,1,,,,,
24152968365,24228321951,75353586,MPI_Barrier,119,119,,1,,,,,
24218030065,24218215781,185716,MPI_Irecv,120,120,0,2,0,,4.000,,
24218217995,24218228705,10710,MPI_Irecv,120,120,0,2,3,,4.000,,
24218413479,24221352392,2938913,MPI_Isend,120,120,0,2,0,,4.000,,
24221354476,24221430788,76312,MPI_Isend,120,120,0,2,3,,4.000,,
24221507751,24225336141,3828390,MPI_Waitall,120,120,,2,,,,,
