Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
250356616,884735008,634378392,MPI_Init_thread,119,119,,1,,,,,
250610353,884791307,634180954,MPI_Init_thread,118,118,,0,,,,,
885070811,886870265,1799454,MPI_Recv,119,119,0,1,0,,0.000,,
885222002,886815316,1593314,MPI_Send,118,118,0,0,1,,0.000,,
51023265938,51023504077,238139,MPI_Irecv,119,119,0,1,0,,4.719,,
51023631008,51025744532,2113524,MPI_Isend,119,119,0,1,0,,4.719,,
51025798540,51366834281,341035741,MPI_Waitall,119,119,,1,,,,,
51359817312,51360058543,241231,MPI_Irecv,118,118,0,0,1,,4.719,,
51360194672,51362233601,2038929,MPI_Isend,118,118,0,0,1,,4.719,,
51362271560,51367689014,5417454,MPI_Waitall,118,118,,0,,,,,
51366861111,51367671512,810401,MPI_Waitall,119,119,,1,,,,,
51367692933,51367697935,5002,MPI_Waitall,118,118,,0,,,,,
51368929991,51369027088,97097,MPI_Barrier,118,118,,0,,,,,
51368990990,51369028033,37043,MPI_Barrier,119,119,,1,,,,,
51369036409,51369041239,4830,MPI_Barrier,119,119,,1,,,,,
51369038446,51369041830,3384,MPI_Barrier,118,118,,0,,,,,
51369052166,51369053738,1572,MPI_Irecv,119,119,0,1,0,,4.719,,
51369052607,51369053571,964,MPI_Irecv,118,118,0,0,1,,4.719,,
51369109000,51369133813,24813,MPI_Isend,118,118,0,0,1,,4.719,,
51369109292,51369132237,22945,MPI_Isend,119,119,0,1,0,,4.719,,
51369133611,51369208689,75078,MPI_Waitall,119,119,,1,,,,,
51369135713,51369213352,77639,MPI_Waitall,118,118,,0,,,,,
51369209537,51369212380,2843,MPI_Waitall,119,119,,1,,,,,
51369214140,51369215333,1193,MPI_Waitall,118,118,,0,,,,,
51369261720,51369262538,818,MPI_Irecv,119,119,0,1,0,,4.719,,
51369269948,51369270824,876,MPI_Irecv,118,118,0,0,1,,4.719,,
51375925991,51375932295,6304,MPI_Isend,119,119,0,1,0,,4.719,,
51375927540,51375934575,7035,MPI_Isend,118,118,0,0,1,,4.719,,
51375932871,51375970553,37682,MPI_Waitall,119,119,,1,,,,,
51375935303,51375969820,34517,MPI_Waitall,118,118,,0,,,,,
51375970510,51375971680,1170,MPI_Waitall,118,118,,0,,,,,
51375971211,51375972509,1298,MPI_Waitall,119,119,,1,,,,,
51376010885,51376011902,1017,MPI_Irecv,119,119,0,1,0,,4.719,,
51376019999,51376020779,780,MPI_Irecv,118,118,0,0,1,,4.719,,
51379594826,51379599864,5038,MPI_Isend,119,119,0,1,0,,4.719,,
51379603646,51379647563,43917,MPI_Waitall,119,119,,1,,,,,
51379606361,51379611662,5301,MPI_Isend,118,118,0,0,1,,4.719,,
51379612474,51379652840,40366,MPI_Waitall,118,118,,0,,,,,
51379648208,51379652726,4518,MPI_Waitall,119,119,,1,,,,,
51379653695,51379654999,1304,MPI_Waitall,118,118,,0,,,,,
51379696963,51379698191,1228,MPI_Irecv,119,119,0,1,0,,4.719,,
51379712446,51379713411,965,MPI_Irecv,118,118,0,0,1,,4.719,,
51380069738,51380074285,4547,MPI_Isend,118,118,0,0,1,,4.719,,
51380075088,51383319240,3244152,MPI_Waitall,118,118,,0,,,,,
51383282765,51383288076,5311,MPI_Isend,119,119,0,1,0,,4.719,,
51383288748,51383319567,30819,MPI_Waitall,119,119,,1,,,,,
51383320021,51383324146,4125,MPI_Waitall,118,118,,0,,,,,
51383320141,51383324303,4162,MPI_Waitall,119,119,,1,,,,,
51383354886,51383355836,950,MPI_Irecv,119,119,0,1,0,,4.719,,
51383359654,51383360483,829,MPI_Irecv,118,118,0,0,1,,4.719,,
51383728753,51383733377,4624,MPI_Isend,119,119,0,1,0,,4.719,,
51383734002,51387000166,3266164,MPI_Waitall,119,119,,1,,,,,
51386952176,51386960981,8805,MPI_Isend,118,118,0,0,1,,4.719,,
