Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
383813589,3310976311,2927162722,MPI_Init_thread,121,121,,0,,,,,
385259224,3311048079,2925788855,MPI_Init_thread,122,122,,1,,,,,
388078445,3311010627,2922932182,MPI_Init_thread,123,123,,2,,,,,
389416781,3311064607,2921647826,MPI_Init_thread,124,124,,3,,,,,
394231665,3310973552,2916741887,MPI_Init_thread,125,125,,4,,,,,
397194572,3311028954,2913834382,MPI_Init_thread,126,126,,5,,,,,
401739955,3310876812,2909136857,MPI_Init_thread,132,132,,6,,,,,
403676216,3311007303,2907331087,MPI_Init_thread,138,138,,7,,,,,
3311438743,3311792680,353937,MPI_Recv,132,132,0,6,2,,0.000,,
3311521451,3311846066,324615,MPI_Recv,125,125,0,4,0,,0.000,,
3311521535,3311849853,328318,MPI_Recv,138,138,0,7,3,,0.000,,
3311584359,3311873051,288692,MPI_Recv,126,126,0,5,1,,0.000,,
3311615294,3311688805,73511,MPI_Send,123,123,0,2,6,,0.000,,
3311679719,3311768516,88797,MPI_Send,124,124,0,3,7,,0.000,,
3311684463,3311764164,79701,MPI_Send,121,121,0,0,4,,0.000,,
3311690479,3311861420,170941,MPI_Recv,123,123,0,2,0,,0.000,,
3311709524,3311780533,71009,MPI_Send,122,122,0,1,5,,0.000,,
3311764945,3311774831,9886,MPI_Send,121,121,0,0,2,,0.000,,
3311772448,3311868448,96000,MPI_Recv,124,124,0,3,1,,0.000,,
3311775528,3311783505,7977,MPI_Send,121,121,0,0,1,,0.000,,
3311781357,3311790380,9023,MPI_Send,122,122,0,1,3,,0.000,,
3311791673,3311893156,101483,MPI_Recv,122,122,0,1,0,,0.000,,
3311793924,3311939962,146038,MPI_Recv,132,132,0,6,4,,0.000,,
3311851043,3311968913,117870,MPI_Recv,138,138,0,7,5,,0.000,,
3311862780,3311877681,14901,MPI_Send,123,123,0,2,3,,0.000,,
3311869468,3311889391,19923,MPI_Recv,124,124,0,3,2,,0.000,,
3311914704,3311932671,17967,MPI_Send,125,125,0,4,6,,0.000,,
3311933303,3311939470,6167,MPI_Send,125,125,0,4,5,,0.000,,
3311940588,3311958329,17741,MPI_Send,126,126,0,5,7,,0.000,,
3311958788,3311971468,12680,MPI_Recv,126,126,0,5,4,,0.000,,
3311969955,3312026510,56555,MPI_Recv,138,138,0,7,6,,0.000,,
3312002536,3312020117,17581,MPI_Send,132,132,0,6,7,,0.000,,
209913572148,209913667978,95830,MPI_Irecv,126,126,0,5,1,,12.500,,
209913670551,209913692041,21490,MPI_Irecv,126,126,0,5,7,,12.500,,
209913692868,209913707846,14978,MPI_Irecv,126,126,0,5,4,,12.500,,
209914688683,209914802864,114181,MPI_Isend,126,126,0,5,1,,12.500,,
209914803805,209914821785,17980,MPI_Isend,126,126,0,5,7,,12.500,,
209914828279,209914845098,16819,MPI_Isend,126,126,0,5,4,,12.500,,
209914926699,211409371654,1494444955,MPI_Waitall,126,126,,5,,,,,
210097457188,210097537457,80269,MPI_Irecv,124,124,0,3,7,,12.500,,
210097538982,210097553947,14965,MPI_Irecv,124,124,0,3,1,,12.500,,
210097554656,210097565760,11104,MPI_Irecv,124,124,0,3,2,,12.500,,
210098562142,210098658273,96131,MPI_Isend,124,124,0,3,7,,12.500,,
210098659041,210098678777,19736,MPI_Isend,124,124,0,3,1,,12.500,,
210098684869,210098699703,14834,MPI_Isend,124,124,0,3,2,,12.500,,
210098770044,211530493716,1431723672,MPI_Waitall,124,124,,3,,,,,
210247591299,210247678924,87625,MPI_Irecv,122,122,0,1,5,,12.500,,
210247680257,210247691957,11700,MPI_Irecv,122,122,0,1,3,,12.500,,
210247692321,210247702896,10575,MPI_Irecv,122,122,0,1,0,,12.500,,
210248699084,210248783338,84254,MPI_Isend,122,122,0,1,5,,12.500,,
210248784110,210248797512,13402,MPI_Isend,122,122,0,1,3,,12.500,,
210248800748,210248815534,14786,MPI_Isend,122,122,0,1,0,,12.500,,
210248896916,211342965165,1094068249,MPI_Waitall,122,122,,1,,,,,
211338509000,211338618627,109627,MPI_Irecv,121,121,0,0,4,,12.500,,
211338620547,211338636887,16340,MPI_Irecv,121,121,0,0,2,,12.500,,
211338637829,211338648099,10270,MPI_Irecv,121,121,0,0,1,,12.500,,
211339605550,211339732004,126454,MPI_Isend,121,121,0,0,4,,12.500,,
211339736281,211339759916,23635,MPI_Isend,121,121,0,0,2,,12.500,,
211339764057,211339781669,17612,MPI_Isend,121,121,0,0,1,,12.500,,
211339872742,211530746721,190873979,MPI_Waitall,121,121,,0,,,,,
211343044887,211343396669,351782,MPI_Waitall,122,122,,1,,,,,
211369356829,211369432967,76138,MPI_Irecv,138,138,0,7,3,,12.500,,
211369434350,211369453060,18710,MPI_Irecv,138,138,0,7,5,,12.500,,
211369453945,211369466225,12280,MPI_Irecv,138,138,0,7,6,,12.500,,
211370419753,211370533351,113598,MPI_Isend,138,138,0,7,3,,12.500,,
211370537535,211370556559,19024,MPI_Isend,138,138,0,7,5,,12.500,,
211370561150,211370577809,16659,MPI_Isend,138,138,0,7,6,,12.500,,
211370678021,211802621122,431943101,MPI_Waitall,138,138,,7,,,,,
211405462346,211405548884,86538,MPI_Irecv,125,125,0,4,0,,12.500,,
211405550181,211405570760,20579,MPI_Irecv,125,125,0,4,6,,12.500,,
211405571828,211405591789,19961,MPI_Irecv,125,125,0,4,5,,12.500,,
211406569529,211406643726,74197,MPI_Isend,125,125,0,4,0,,12.500,,
