Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
260767617,1306942870,1046175253,MPI_Init_thread,117,117,,0,,,,,
261044203,1306910802,1045866599,MPI_Init_thread,118,118,,1,,,,,
263489788,1306961069,1043471281,MPI_Init_thread,119,119,,2,,,,,
263637473,1306997291,1043359818,MPI_Init_thread,120,120,,3,,,,,
1307196267,1308523592,1327325,MPI_Send,118,118,0,1,3,,0.000,,
1307223502,1308650623,1427121,MPI_Recv,119,119,0,2,0,,0.000,,
1307225688,1308664164,1438476,MPI_Recv,120,120,0,3,1,,0.000,,
1307262149,1308603836,1341687,MPI_Send,117,117,0,0,2,,0.000,,
1308525807,1308649395,123588,MPI_Recv,118,118,0,1,0,,0.000,,
1308605037,1308611206,6169,MPI_Send,117,117,0,0,1,,0.000,,
1308663287,1308669298,6011,MPI_Send,119,119,0,2,3,,0.000,,
1308665960,1308669528,3568,MPI_Recv,120,120,0,3,2,,0.000,,
109471171908,109471318115,146207,MPI_Irecv,120,120,0,3,1,,9.000,,
109471321136,109471328084,6948,MPI_Irecv,120,120,0,3,2,,9.000,,
109471462840,109473134894,1672054,MPI_Isend,120,120,0,3,1,,9.000,,
109473138403,109473173233,34830,MPI_Isend,120,120,0,3,2,,9.000,,
109473206652,110439490766,966284114,MPI_Waitall,120,120,,3,,,,,
109491310615,109491424916,114301,MPI_Irecv,119,119,0,2,0,,9.000,,
109491426432,109491434836,8404,MPI_Irecv,119,119,0,2,3,,9.000,,
109491559158,109493020977,1461819,MPI_Isend,119,119,0,2,0,,9.000,,
109493025067,109493056185,31118,MPI_Isend,119,119,0,2,3,,9.000,,
109493104536,110425860709,932756173,MPI_Waitall,119,119,,2,,,,,
110419701055,110419820566,119511,MPI_Irecv,117,117,0,0,2,,9.000,,
110419822809,110419830315,7506,MPI_Irecv,117,117,0,0,1,,9.000,,
110419953172,110421501012,1547840,MPI_Isend,117,117,0,0,2,,9.000,,
110421504341,110421533880,29539,MPI_Isend,117,117,0,0,1,,9.000,,
110421563986,110433756284,12192298,MPI_Waitall,117,117,,0,,,,,
110425889705,110427021615,1131910,MPI_Waitall,119,119,,2,,,,,
110427138500,110427233261,94761,MPI_Irecv,118,118,0,1,3,,9.000,,
110427234450,110427242013,7563,MPI_Irecv,118,118,0,1,0,,9.000,,
110427375227,110428946782,1571555,MPI_Isend,118,118,0,1,3,,9.000,,
110427982709,110440487848,12505139,MPI_Barrier,119,119,,2,,,,,
110428950205,110428979157,28952,MPI_Isend,118,118,0,1,0,,9.000,,
110429027727,110437069519,8041792,MPI_Waitall,118,118,,1,,,,,
110433759827,110437065263,3305436,MPI_Waitall,117,117,,0,,,,,
110437072663,110439484429,2411766,MPI_Waitall,118,118,,1,,,,,
110439184512,110440487703,1303191,MPI_Barrier,117,117,,0,,,,,
110439533480,110439536307,2827,MPI_Waitall,120,120,,3,,,,,
110440305083,110440487290,182207,MPI_Barrier,118,118,,1,,,,,
110440454338,110440488398,34060,MPI_Barrier,120,120,,3,,,,,
110440491744,110440495007,3263,MPI_Barrier,118,118,,1,,,,,
110440492592,110440495359,2767,MPI_Barrier,117,117,,0,,,,,
110440492661,110440495524,2863,MPI_Barrier,120,120,,3,,,,,
110440492842,110440495274,2432,MPI_Barrier,119,119,,2,,,,,
110440504525,110440505460,935,MPI_Irecv,118,118,0,1,3,,9.000,,
110440505853,110440506197,344,MPI_Irecv,118,118,0,1,0,,9.000,,
110440509680,110440510702,1022,MPI_Irecv,117,117,0,0,2,,9.000,,
110440511358,110440511830,472,MPI_Irecv,117,117,0,0,1,,9.000,,
110440512594,110440513862,1268,MPI_Irecv,119,119,0,2,0,,9.000,,
110440513978,110440515293,1315,MPI_Irecv,120,120,0,3,1,,9.000,,
110440514338,110440514793,455,MPI_Irecv,119,119,0,2,3,,9.000,,
110440515658,110440516132,474,MPI_Irecv,120,120,0,3,2,,9.000,,
110440583850,110440596555,12705,MPI_Isend,118,118,0,1,3,,9.000,,
110440590801,110440609475,18674,MPI_Isend,117,117,0,0,2,,9.000,,
110440594122,110440617403,23281,MPI_Isend,120,120,0,3,1,,9.000,,
110440594493,110440615658,21165,MPI_Isend,119,119,0,2,0,,9.000,,
110440597006,110440601619,4613,MPI_Isend,118,118,0,1,0,,9.000,,
110440602878,110440772631,169753,MPI_Waitall,118,118,,1,,,,,
110440609958,110440614019,4061,MPI_Isend,117,117,0,0,1,,9.000,,
110440615554,110440767935,152381,MPI_Waitall,117,117,,0,,,,,
110440616178,110440623073,6895,MPI_Isend,119,119,0,2,3,,9.000,,
110440617866,110440623755,5889,MPI_Isend,120,120,0,3,2,,9.000,,
110440624600,110440764755,140155,MPI_Waitall,119,119,,2,,,,,
110440625220,110440788187,162967,MPI_Waitall,120,120,,3,,,,,
110440765256,110440787415,22159,MPI_Waitall,119,119,,2,,,,,
110440768331,110440772046,3715,MPI_Waitall,117,117,,0,,,,,
110440773133,110440774485,1352,MPI_Waitall,118,118,,1,,,,,
110440788524,110440789399,875,MPI_Waitall,120,120,,3,,,,,
110440801922,110440802391,469,MPI_Irecv,117,117,0,0,2,,9.000,,
110440802656,110440802821,165,MPI_Irecv,117,117,0,0,1,,9.000,,
110440804135,110440804608,473,MPI_Irecv,118,118,0,1,3,,9.000,,
110440805150,110440805492,342,MPI_Irecv,118,118,0,1,0,,9.000,,
110440820697,110440821106,409,MPI_Irecv,119,119,0,2,0,,9.000,,
110440821767,110440822071,304,MPI_Irecv,119,119,0,2,3,,9.000,,
110440825255,110440825618,363,MPI_Irecv,120,120,0,3,1,,9.000,,
110440825835,110440826001,166,MPI_Irecv,120,120,0,3,2,,9.000,,
110465513890,110465520056,6166,MPI_Isend,118,118,0,1,3,,9.000,,
110465520613,110465524061,3448,MPI_Isend,118,118,0,1,0,,9.000,,
110465524606,110465619466,94860,MPI_Waitall,118,118,,1,,,,,
110465537381,110465541683,4302,MPI_Isend,120,120,0,3,1,,9.000,,
110465538938,110465542790,3852,MPI_Isend,119,119,0,2,0,,9.000,,
110465541368,110465545753,4385,MPI_Isend,117,117,0,0,2,,9.000,,
110465541947,110465544966,3019,MPI_Isend,120,120,0,3,2,,9.000,,
110465543272,110465546155,2883,MPI_Isend,119,119,0,2,3,,9.000,,
110465545464,110465659755,114291,MPI_Waitall,120,120,,3,,,,,
110465546079,110465549026,2947,MPI_Isend,117,117,0,0,1,,9.000,,
110465546561,110465617493,70932,MPI_Waitall,119,119,,2,,,,,
110465549426,110465661130,111704,MPI_Waitall,117,117,,0,,,,,
110465617750,110465660993,43243,MPI_Waitall,119,119,,2,,,,,
110465619719,110465620479,760,MPI_Waitall,118,118,,1,,,,,
110465648994,110465649421,427,MPI_Irecv,118,118,0,1,3,,9.000,,
110465649933,110465650291,358,MPI_Irecv,118,118,0,1,0,,9.000,,
110465660125,110465660760,635,MPI_Waitall,120,120,,3,,,,,
110465661488,110465662588,1100,MPI_Waitall,117,117,,0,,,,,
110465688031,110465688491,460,MPI_Irecv,117,117,0,0,2,,9.000,,
110465688688,110465688978,290,MPI_Irecv,117,117,0,0,1,,9.000,,
110465691432,110465691762,330,MPI_Irecv,119,119,0,2,0,,9.000,,
110465692050,110465692196,146,MPI_Irecv,119,119,0,2,3,,9.000,,
110465692207,110465692591,384,MPI_Irecv,120,120,0,3,1,,9.000,,
110465692818,110465693097,279,MPI_Irecv,120,120,0,3,2,,9.000,,
110478475993,110478480302,4309,MPI_Isend,118,118,0,1,3,,9.000,,
110478480798,110478486527,5729,MPI_Isend,118,118,0,1,0,,9.000,,
110478486792,110478610510,123718,MPI_Waitall,118,118,,1,,,,,
110478507360,110478511607,4247,MPI_Isend,120,120,0,3,1,,9.000,,
110478511862,110478514991,3129,MPI_Isend,120,120,0,3,2,,9.000,,
110478512914,110478520488,7574,MPI_Isend,119,119,0,2,0,,9.000,,
110478515411,110478622658,107247,MPI_Waitall,120,120,,3,,,,,
110478517555,110478524124,6569,MPI_Isend,117,117,0,0,2,,9.000,,
110478521133,110478523599,2466,MPI_Isend,119,119,0,2,3,,9.000,,
110478523844,110478621512,97668,MPI_Waitall,119,119,,2,,,,,
110478524352,110478527066,2714,MPI_Isend,117,117,0,0,1,,9.000,,
110478527532,110478625901,98369,MPI_Waitall,117,117,,0,,,,,
110478610726,110478611172,446,MPI_Waitall,118,118,,1,,,,,
110478621782,110478625671,3889,MPI_Waitall,119,119,,2,,,,,
110478622967,110478623521,554,MPI_Waitall,120,120,,3,,,,,
110478626181,110478626660,479,MPI_Waitall,117,117,,0,,,,,
110478636785,110478637196,411,MPI_Irecv,118,118,0,1,3,,9.000,,
110478637727,110478638119,392,MPI_Irecv,118,118,0,1,0,,9.000,,
110478651742,110478652052,310,MPI_Irecv,117,117,0,0,2,,9.000,,
110478652311,110478652446,135,MPI_Irecv,117,117,0,0,1,,9.000,,
110478653905,110478654258,353,MPI_Irecv,120,120,0,3,1,,9.000,,
110478654472,110478654827,355,MPI_Irecv,120,120,0,3,2,,9.000,,
110478655088,110478655506,418,MPI_Irecv,119,119,0,2,0,,9.000,,
110478656032,110478656433,401,MPI_Irecv,119,119,0,2,3,,9.000,,
110491461502,110491465654,4152,MPI_Isend,118,118,0,1,3,,9.000,,
110491465841,110491468907,3066,MPI_Isend,118,118,0,1,0,,9.000,,
110491467054,110491470933,3879,MPI_Isend,120,120,0,3,1,,9.000,,
110491469162,110491557851,88689,MPI_Waitall,118,118,,1,,,,,
110491471134,110491474355,3221,MPI_Isend,120,120,0,3,2,,9.000,,
110491474708,110491566272,91564,MPI_Waitall,120,120,,3,,,,,
110491480375,110491483669,3294,MPI_Isend,119,119,0,2,0,,9.000,,
110491482990,110491486887,3897,MPI_Isend,117,117,0,0,2,,9.000,,
110491483868,110491489259,5391,MPI_Isend,119,119,0,2,3,,9.000,,
110491487107,110491492525,5418,MPI_Isend,117,117,0,0,1,,9.000,,
110491489528,110491572468,82940,MPI_Waitall,119,119,,2,,,,,
110491492989,110491579792,86803,MPI_Waitall,117,117,,0,,,,,
110491557968,110491558196,228,MPI_Waitall,118,118,,1,,,,,
110491566467,110491566745,278,MPI_Waitall,120,120,,3,,,,,
110491572810,110491579692,6882,MPI_Waitall,119,119,,2,,,,,
110491579952,110491580219,267,MPI_Waitall,117,117,,0,,,,,
110491582195,110491582462,267,MPI_Irecv,118,118,0,1,3,,9.000,,
110491583161,110491583530,369,MPI_Irecv,118,118,0,1,0,,9.000,,
110491597890,110491598200,310,MPI_Irecv,120,120,0,3,1,,9.000,,
110491598367,110491598540,173,MPI_Irecv,120,120,0,3,2,,9.000,,
110491612249,110491612605,356,MPI_Irecv,117,117,0,0,2,,9.000,,
110491612839,110491612978,139,MPI_Irecv,117,117,0,0,1,,9.000,,
110491614030,110491614476,446,MPI_Irecv,119,119,0,2,0,,9.000,,
110491615284,110491615557,273,MPI_Irecv,119,119,0,2,3,,9.000,,
110504407673,110504411478,3805,MPI_Isend,118,118,0,1,3,,9.000,,
110504411798,110504415012,3214,MPI_Isend,118,118,0,1,0,,9.000,,
110504414611,110504418499,3888,MPI_Isend,120,120,0,3,1,,9.000,,
110504415673,110504493731,78058,MPI_Waitall,118,118,,1,,,,,
110504419322,110504422461,3139,MPI_Isend,120,120,0,3,2,,9.000,,
110504422835,110504506190,83355,MPI_Waitall,120,120,,3,,,,,
110504436350,110504439866,3516,MPI_Isend,117,117,0,0,2,,9.000,,
110504440089,110504443213,3124,MPI_Isend,119,119,0,2,0,,9.000,,
110504440707,110504443404,2697,MPI_Isend,117,117,0,0,1,,9.000,,
110504443516,110504445946,2430,MPI_Isend,119,119,0,2,3,,9.000,,
110504443881,110504524260,80379,MPI_Waitall,117,117,,0,,,,,
110504446188,110504516469,70281,MPI_Waitall,119,119,,2,,,,,
110504494060,110504494719,659,MPI_Waitall,118,118,,1,,,,,
110504506356,110504506640,284,MPI_Waitall,120,120,,3,,,,,
110504516629,110504524182,7553,MPI_Waitall,119,119,,2,,,,,
110504520934,110504521296,362,MPI_Irecv,118,118,0,1,3,,9.000,,
110504521713,110504521872,159,MPI_Irecv,118,118,0,1,0,,9.000,,
110504524467,110504524724,257,MPI_Waitall,117,117,,0,,,,,
110504536160,110504536451,291,MPI_Irecv,120,120,0,3,1,,9.000,,
110504536660,110504536936,276,MPI_Irecv,120,120,0,3,2,,9.000,,
110504552715,110504552991,276,MPI_Irecv,117,117,0,0,2,,9.000,,
110504553153,110504553287,134,MPI_Irecv,117,117,0,0,1,,9.000,,
110504553509,110504553773,264,MPI_Irecv,119,119,0,2,0,,9.000,,
110504554094,110504554244,150,MPI_Irecv,119,119,0,2,3,,9.000,,
110517335469,110517339088,3619,MPI_Isend,118,118,0,1,3,,9.000,,
110517339428,110517342664,3236,MPI_Isend,118,118,0,1,0,,9.000,,
110517343109,110517472908,129799,MPI_Waitall,118,118,,1,,,,,
