API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
19869723333,271513,,,19869990342,896,271513,325,325,0,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
19870145727,32978,,,19870176484,1896718,1927475,325,325,0,cudaLaunchKernel,  16  128  128,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19870188143,26132,19870214275,1865135,19872079410,11232,1902499,325,325,0,cudaLaunchKernel,2048    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19870215928,19485,19870235413,1861981,19872097394,12352,1893818,325,325,0,cudaLaunchKernel,2040    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19870240893,32565,19870273458,1843008,19872116466,120286,1995859,325,325,0,cudaLaunchKernel,2033    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19872246630,21723,19872268353,2031,19872270384,1903118,1926872,325,325,0,cudaLaunchKernel,  16  128  128,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19872275737,10208,19872285945,1877829,19874163774,12896,1900933,325,325,0,cudaLaunchKernel,2048    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19872290211,11575,19872301786,1876292,19874178078,12800,1900667,325,325,0,cudaLaunchKernel,2040    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19872305645,6810,19872312455,1879639,19874192094,119487,2005936,325,325,0,cudaLaunchKernel,2033    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19874320786,11871,,,19874331229,1901038,1911481,325,325,0,cudaLaunchKernel,  16  128  128,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19874336949,6522,19874343471,1878876,19876222347,12512,1897910,325,325,0,cudaLaunchKernel,2048    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19874343895,5875,19874349770,1886497,19876236267,13472,1905844,325,325,0,cudaLaunchKernel,2040    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19874350282,4824,19874355106,1895913,19876251019,119679,2020416,325,325,0,cudaLaunchKernel,2033    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19876379296,13167,19876392463,1179,19876393642,1901550,1915896,325,325,0,cudaLaunchKernel,  16  128  128,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19876396166,7813,19876403979,1881709,19878285688,12704,1902226,325,325,0,cudaLaunchKernel,2048    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19876404503,4214,19876408717,1891115,19878299832,12160,1907489,325,325,0,cudaLaunchKernel,2040    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19876409303,4134,19876413437,1899579,19878313016,121214,2024927,325,325,0,cudaLaunchKernel,2033    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
19878441254,7073,19878448327,2223,19878450550,1901134,1910430,325,325,0,cudaLaunchKernel,  16  128  128,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
