API Start (ns),API Dur (ns),Queue Start (ns),Queue Dur (ns),Kernel Start (ns),Kernel Dur (ns),Total Dur (ns),PID,TID,DevId,API Function,GridXYZ,BlockXYZ,Kernel Name
46801901799,273852,,,46802170958,1216,273852,118,118,0,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
46856962950,264855,,,46857225930,1248,264855,119,119,1,cudaLaunchKernel,   1    1    1,   1    1    1,<unnamed>::warmup_kernel(double *)
46857583109,37290,46857620399,410,46857620809,83103,120803,119,119,1,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
46857591945,53940,,,46857645134,83328,136517,118,118,0,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
46862006283,39523,46862045806,263,46862046069,13532356,13572142,119,119,1,cudaLaunchKernel,  16  250  250,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46862090129,47589,,,46862137566,13524337,13571774,118,118,0,cudaLaunchKernel,  16  250  250,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865273226,53741,46865326967,10261474,46875588441,154207,10469422,119,119,1,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
46865289356,58659,46865348015,10324448,46875672463,154464,10537571,118,118,0,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
46865333929,32431,46865366360,10385696,46875752056,40320,10458447,119,119,1,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865353335,37461,46865390796,10500419,46875891215,39072,10576952,118,118,0,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_x_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865368414,27962,46865396376,10493471,46875889847,36768,10558201,119,119,1,cudaLaunchKernel,3899    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865393010,30196,46865423206,10516104,46875939310,37280,10583580,118,118,0,cudaLaunchKernel,3899    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_y_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865398229,27392,46865425621,10509026,46875934647,956220,11492638,119,119,1,cudaLaunchKernel,7782    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865425420,25548,46865450968,10533782,46875984750,951293,11510623,118,118,0,cudaLaunchKernel,7782    1    1, 256    1    1,"<unnamed>::step_kernel_boundary_z_faces(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46865436872,4518,46865441390,11450405,46876891795,79999,11534922,119,119,1,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
46865462119,5480,46865467599,11557244,46877024843,79391,11642115,118,118,0,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::pack_face_z(const double *, double *, int, int, int, int, int)"
46877049378,15979,46877065357,1829,46877067186,13535588,13553396,119,119,1,cudaLaunchKernel,  16  250  250,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46877130589,15850,46877146439,1795,46877148234,13541169,13558814,118,118,0,cudaLaunchKernel,  16  250  250,  32    4    4,"<unnamed>::step_kernel_interior(const double *, const double *, double *, const double *, const double *, int, int, int, int, int, int, int, double, double, bool)"
46877297100,7194,46877304294,13277456,46890581750,153503,13438153,119,119,1,cudaLaunchKernel,3907    1    1, 256    1    1,"<unnamed>::unpack_face_z(const double *, double *, int, int, int, int, int)"
