Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
342235346,1066808092,724572746,MPI_Init_thread,118,118,,0,,,,,
342649560,1066908710,724259150,MPI_Init_thread,119,119,,1,,,,,
1067338102,1071409429,4071327,MPI_Recv,119,119,0,1,0,,0.000,,
1067429042,1071325421,3896379,MPI_Send,118,118,0,0,1,,0.000,,
46802372919,46857533215,55160296,MPI_Barrier,118,118,,0,,,,,
46857470307,46857536161,65854,MPI_Barrier,119,119,,1,,,,,
46857544647,46857550027,5380,MPI_Barrier,119,119,,1,,,,,
46857545098,46857549716,4618,MPI_Barrier,118,118,,0,,,,,
46857818508,46857956977,138469,MPI_Irecv,119,119,0,1,0,,8.000,,
46857820602,46857975272,154670,MPI_Irecv,118,118,0,0,1,,8.000,,
46857998875,46861992758,3993883,MPI_Isend,119,119,0,1,0,,8.000,,
46858014274,46862080641,4066367,MPI_Isend,118,118,0,0,1,,8.000,,
46862123762,46864951125,2827363,MPI_Waitall,119,119,,1,,,,,
46862216755,46865268678,3051923,MPI_Waitall,118,118,,0,,,,,
46864952687,46865259030,306343,MPI_Waitall,119,119,,1,,,,,
46865270381,46865272365,1984,MPI_Waitall,118,118,,0,,,,,
46877030442,46877032456,2014,MPI_Irecv,119,119,0,1,0,,8.000,,
46877033388,46877047184,13796,MPI_Isend,119,119,0,1,0,,8.000,,
46877069585,46877284987,215402,MPI_Waitall,119,119,,1,,,,,
46877112235,46877116803,4568,MPI_Irecv,118,118,0,0,1,,8.000,,
46877117835,46877128295,10460,MPI_Isend,118,118,0,0,1,,8.000,,
46877153522,46877296429,142907,MPI_Waitall,118,118,,0,,,,,
46877285548,46877294806,9258,MPI_Waitall,119,119,,1,,,,,
46877297020,46877297701,681,MPI_Waitall,118,118,,0,,,,,
46891866089,46891868213,2124,MPI_Irecv,119,119,0,1,0,,8.000,,
46891869135,46891877160,8025,MPI_Isend,119,119,0,1,0,,8.000,,
46891896547,46892107080,210533,MPI_Waitall,119,119,,1,,,,,
46891939185,46891941309,2124,MPI_Irecv,118,118,0,0,1,,8.000,,
46891942241,46891954344,12103,MPI_Isend,118,118,0,0,1,,8.000,,
46891972999,46892124792,151793,MPI_Waitall,118,118,,0,,,,,
46892107641,46892124191,16550,MPI_Waitall,119,119,,1,,,,,
46892125393,46892125985,592,MPI_Waitall,118,118,,0,,,,,
46906730771,46906732825,2054,MPI_Irecv,119,119,0,1,0,,8.000,,
46906733456,46906753243,19787,MPI_Isend,119,119,0,1,0,,8.000,,
46906768862,46907019370,250508,MPI_Waitall,119,119,,1,,,,,
46906798548,46906859561,61013,MPI_Irecv,118,118,0,0,1,,8.000,,
46906860503,46906869049,8546,MPI_Isend,118,118,0,0,1,,8.000,,
46906891511,46907030871,139360,MPI_Waitall,118,118,,0,,,,,
46907019971,46907029890,9919,MPI_Waitall,119,119,,1,,,,,
46907031453,46907032104,651,MPI_Waitall,118,118,,0,,,,,
46921608968,46921611222,2254,MPI_Irecv,119,119,0,1,0,,8.000,,
46921611853,46921623645,11792,MPI_Isend,119,119,0,1,0,,8.000,,
46921642751,46921894872,252121,MPI_Waitall,119,119,,1,,,,,
46921710718,46921715777,5059,MPI_Irecv,118,118,0,0,1,,8.000,,
46921716609,46921725816,9207,MPI_Isend,118,118,0,0,1,,8.000,,
46921757966,46921906804,148838,MPI_Waitall,118,118,,0,,,,,
46921895483,46921905993,10510,MPI_Waitall,119,119,,1,,,,,
46921907385,46921908006,621,MPI_Waitall,118,118,,0,,,,,
46936453492,46936455465,1973,MPI_Irecv,119,119,0,1,0,,8.000,,
46936456057,46936463641,7584,MPI_Isend,119,119,0,1,0,,8.000,,
46936481194,46936762399,281205,MPI_Waitall,119,119,,1,,,,,
46936566643,46936568526,1883,MPI_Irecv,118,118,0,0,1,,8.000,,
46936569127,46936586891,17764,MPI_Isend,118,118,0,0,1,,8.000,,
46936601328,46936763240,161912,MPI_Waitall,118,118,,0,,,,,
46936763030,46936764122,1092,MPI_Waitall,119,119,,1,,,,,
46936764052,46936765204,1152,MPI_Waitall,118,118,,0,,,,,
46951283338,46951285121,1783,MPI_Irecv,119,119,0,1,0,,8.000,,
46951286043,46951304287,18244,MPI_Isend,119,119,0,1,0,,8.000,,
46951329064,46951611200,282136,MPI_Waitall,119,119,,1,,,,,
46951441353,46951445691,4338,MPI_Irecv,118,118,0,0,1,,8.000,,
46951446553,46951455930,9377,MPI_Isend,118,118,0,0,1,,8.000,,
46951474064,46951620528,146464,MPI_Waitall,118,118,,0,,,,,
46951614126,46951619306,5180,MPI_Waitall,119,119,,1,,,,,
46951621239,46951621860,621,MPI_Waitall,118,118,,0,,,,,
46966174579,46966251063,76484,MPI_Irecv,119,119,0,1,0,,8.000,,
46966252195,46966260661,8466,MPI_Isend,119,119,0,1,0,,8.000,,
46966286910,46966470021,183111,MPI_Waitall,119,119,,1,,,,,
46966290567,46966294353,3786,MPI_Irecv,118,118,0,0,1,,8.000,,
46966295325,46966303310,7985,MPI_Isend,118,118,0,0,1,,8.000,,
46966326383,46966472416,146033,MPI_Waitall,118,118,,0,,,,,
46966471003,46966472035,1032,MPI_Waitall,119,119,,1,,,,,
46966472987,46966474029,1042,MPI_Waitall,118,118,,0,,,,,
46981103091,46981104543,1452,MPI_Irecv,119,119,0,1,0,,8.000,,
46981105325,46981114201,8876,MPI_Isend,119,119,0,1,0,,8.000,,
46981141062,46981342046,200984,MPI_Waitall,119,119,,1,,,,,
46981164205,46981166109,1904,MPI_Irecv,118,118,0,0,1,,8.000,,
46981166849,46981180865,14016,MPI_Isend,118,118,0,0,1,,8.000,,
46981200582,46981344491,143909,MPI_Waitall,118,118,,0,,,,,
46981342718,46981344160,1442,MPI_Waitall,119,119,,1,,,,,
46981345122,46981346144,1022,MPI_Waitall,118,118,,0,,,,,
46995961671,46995963604,1933,MPI_Irecv,119,119,0,1,0,,8.000,,
46995964326,46995972361,8035,MPI_Isend,119,119,0,1,0,,8.000,,
46995990565,46996218791,228226,MPI_Waitall,119,119,,1,,,,,
46996046128,46996048172,2044,MPI_Irecv,118,118,0,0,1,,8.000,,
46996048833,46996060264,11431,MPI_Isend,118,118,0,0,1,,8.000,,
46996073890,46996220714,146824,MPI_Waitall,118,118,,0,,,,,
46996219532,46996220644,1112,MPI_Waitall,119,119,,1,,,,,
46996221305,46996222427,1122,MPI_Waitall,118,118,,0,,,,,
47010757273,47010890693,133420,MPI_Barrier,119,119,,1,,,,,
47010884251,47010891364,7113,MPI_Barrier,118,118,,0,,,,,
52345323704,52416609937,71286233,MPI_Finalize,119,119,,1,,,,,
52360413266,52416442234,56028968,MPI_Finalize,118,118,,0,,,,,
