Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
432187558,1427622197,995434639,MPI_Init_thread,118,118,,0,,,,,
432328211,1427616557,995288346,MPI_Init_thread,120,120,,2,,,,,
435464633,1427543390,992078757,MPI_Init_thread,121,121,,3,,,,,
436123889,1427572865,991448976,MPI_Init_thread,119,119,,1,,,,,
1427918733,1431561063,3642330,MPI_Recv,121,121,0,3,1,,0.000,,
1427994565,1432672578,4678013,MPI_Recv,120,120,0,2,0,,0.000,,
1428006758,1431512402,3505644,MPI_Send,119,119,0,1,3,,0.000,,
1429194305,1432623907,3429602,MPI_Send,118,118,0,0,2,,0.000,,
1431515488,1435203282,3687794,MPI_Recv,119,119,0,1,0,,0.000,,
1431570471,1432698836,1128365,MPI_Recv,121,121,0,3,2,,0.000,,
1432625580,1432639506,13926,MPI_Send,118,118,0,0,1,,0.000,,
1432693707,1432698385,4678,MPI_Send,120,120,0,2,3,,0.000,,
27509643537,27901563506,391919969,MPI_Barrier,121,121,,3,,,,,
27701406012,27901561603,200155591,MPI_Barrier,118,118,,0,,,,,
27723914569,27904191155,180276586,MPI_Barrier,119,119,,1,,,,,
27901495399,27901562184,66785,MPI_Barrier,120,120,,2,,,,,
27901568846,27906194182,4625336,MPI_Barrier,120,120,,2,,,,,
27901592461,27906195495,4603034,MPI_Barrier,118,118,,0,,,,,
27901594885,27906194703,4599818,MPI_Barrier,121,121,,3,,,,,
27904224468,27906192609,1968141,MPI_Barrier,119,119,,1,,,,,
27906450293,27906604522,154229,MPI_Irecv,120,120,0,2,0,,4.000,,
27906481010,27906629148,148138,MPI_Irecv,121,121,0,3,1,,4.000,,
27906486250,27906629659,143409,MPI_Irecv,119,119,0,1,3,,4.000,,
27906494215,27906629699,135484,MPI_Irecv,118,118,0,0,2,,4.000,,
27906605644,27906616454,10810,MPI_Irecv,120,120,0,2,3,,4.000,,
27906630651,27906640129,9478,MPI_Irecv,121,121,0,3,2,,4.000,,
27906631312,27906641411,10099,MPI_Irecv,118,118,0,0,1,,4.000,,
27906632023,27906641371,9348,MPI_Irecv,119,119,0,1,0,,4.000,,
27906672008,27913218447,6546439,MPI_Isend,120,120,0,2,0,,4.000,,
27906716832,27913317202,6600370,MPI_Isend,121,121,0,3,1,,4.000,,
27906724998,27913278981,6553983,MPI_Isend,119,119,0,1,3,,4.000,,
27906743011,27913366044,6623033,MPI_Isend,118,118,0,0,2,,4.000,,
27913221673,27913292606,70933,MPI_Isend,120,120,0,2,3,,4.000,,
27913282137,27913343792,61655,MPI_Isend,119,119,0,1,0,,4.000,,
27913319447,27913364621,45174,MPI_Isend,121,121,0,3,2,,4.000,,
27913368909,27913415056,46147,MPI_Isend,118,118,0,0,1,,4.000,,
27913391752,27920251788,6860036,MPI_Waitall,120,120,,2,,,,,
27913440694,27920745935,7305241,MPI_Waitall,119,119,,1,,,,,
27913465911,27919872106,6406195,MPI_Waitall,121,121,,3,,,,,
27913514753,27920979743,7464990,MPI_Waitall,118,118,,0,,,,,
27919874701,27920726328,851627,MPI_Waitall,121,121,,3,,,,,
27920253872,27920256968,3096,MPI_Waitall,120,120,,2,,,,,
