Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
598763945,2294010822,1695246877,MPI_Init_thread,118,118,,0,,,,,
599134624,2293972772,1694838148,MPI_Init_thread,119,119,,1,,,,,
603276169,2294034817,1690758648,MPI_Init_thread,120,120,,2,,,,,
1559832252,2293982029,734149777,MPI_Init_thread,121,121,,3,,,,,
2294477851,2298473025,3995174,MPI_Recv,121,121,0,3,1,,0.000,,
2294542782,2298464189,3921407,MPI_Send,119,119,0,1,3,,0.000,,
2294551689,2298529330,3977641,MPI_Recv,120,120,0,2,0,,0.000,,
2294682502,2298519732,3837230,MPI_Send,118,118,0,0,2,,0.000,,
2298467775,2298610201,142426,MPI_Recv,119,119,0,1,0,,0.000,,
2298517187,2298618545,101358,MPI_Recv,121,121,0,3,2,,0.000,,
2298521225,2298535261,14036,MPI_Send,118,118,0,0,1,,0.000,,
2298607816,2298618405,10589,MPI_Send,120,120,0,2,3,,0.000,,
25597270147,25742846814,145576667,MPI_Barrier,118,118,,0,,,,,
25620815054,25742848938,122033884,MPI_Barrier,119,119,,1,,,,,
25710685165,25742845281,32160116,MPI_Barrier,120,120,,2,,,,,
25742770993,25742845492,74499,MPI_Barrier,121,121,,3,,,,,
25742852976,25742914019,61043,MPI_Barrier,121,121,,3,,,,,
25742855290,25742914019,58729,MPI_Barrier,120,120,,2,,,,,
25742886478,25742914009,27531,MPI_Barrier,118,118,,0,,,,,
25742900805,25742913018,12213,MPI_Barrier,119,119,,1,,,,,
25743159676,25743329693,170017,MPI_Irecv,121,121,0,3,1,,4.000,,
25743162411,25743334412,172001,MPI_Irecv,118,118,0,0,2,,4.000,,
25743176808,25743358386,181578,MPI_Irecv,120,120,0,2,0,,4.000,,
25743221080,25743424559,203479,MPI_Irecv,119,119,0,1,3,,4.000,,
25743331005,25743341925,10920,MPI_Irecv,121,121,0,3,2,,4.000,,
25743335875,25743352004,16129,MPI_Irecv,118,118,0,0,1,,4.000,,
25743359919,25743373765,13846,MPI_Irecv,120,120,0,2,3,,4.000,,
25743425982,25743442222,16240,MPI_Irecv,119,119,0,1,0,,4.000,,
25743436221,25759995110,16558889,MPI_Isend,121,121,0,3,1,,4.000,,
25743452481,25759841615,16389134,MPI_Isend,118,118,0,0,2,,4.000,,
25743470345,25759710160,16239815,MPI_Isend,120,120,0,2,0,,4.000,,
25743537951,25760243092,16705141,MPI_Isend,119,119,0,1,3,,4.000,,
25759712034,25759766685,54651,MPI_Isend,120,120,0,2,3,,4.000,,
25759849940,25759916915,66975,MPI_Isend,118,118,0,0,1,,4.000,,
25759866911,25768783602,8916691,MPI_Waitall,120,120,,2,,,,,
25759997084,25760059270,62186,MPI_Isend,121,121,0,3,2,,4.000,,
25760136443,25769297679,9161236,MPI_Waitall,118,118,,0,,,,,
25760175636,25765680328,5504692,MPI_Waitall,121,121,,3,,,,,
25760245075,25760309956,64881,MPI_Isend,119,119,0,1,0,,4.000,,
25760422174,25769162527,8740353,MPI_Waitall,119,119,,1,,,,,
25765682162,25769136729,3454567,MPI_Waitall,121,121,,3,,,,,
