Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
257546681,935390514,677843833,MPI_Init_thread,119,119,,1,,,,,
257725552,935433811,677708259,MPI_Init_thread,118,118,,0,,,,,
935718567,937496996,1778429,MPI_Recv,119,119,0,1,0,,0.000,,
935827915,937432289,1604374,MPI_Send,118,118,0,0,1,,0.000,,
64564518490,64598410781,33892291,MPI_Barrier,118,118,,0,,,,,
64598306850,64598413341,106491,MPI_Barrier,119,119,,1,,,,,
64598422979,64598431317,8338,MPI_Barrier,119,119,,1,,,,,
64598425381,64598432177,6796,MPI_Barrier,118,118,,0,,,,,
64599727616,64599891256,163640,MPI_Irecv,118,118,0,0,1,,8.000,,
64599732131,64599891593,159462,MPI_Irecv,119,119,0,1,0,,8.000,,
64599914892,64602207551,2292659,MPI_Isend,118,118,0,0,1,,8.000,,
64599919330,64602207423,2288093,MPI_Isend,119,119,0,1,0,,8.000,,
64602341039,64610024202,7683163,MPI_Waitall,118,118,,0,,,,,
64602343447,64611045946,8702499,MPI_Waitall,119,119,,1,,,,,
64610026448,64611031757,1005309,MPI_Waitall,118,118,,0,,,,,
64611048484,64611050455,1971,MPI_Waitall,119,119,,1,,,,,
64611784222,64611785965,1743,MPI_Irecv,118,118,0,0,1,,8.000,,
64611787194,64611801023,13829,MPI_Isend,118,118,0,0,1,,8.000,,
64611797664,64611799384,1720,MPI_Irecv,119,119,0,1,0,,8.000,,
64611800744,64611810413,9669,MPI_Isend,119,119,0,1,0,,8.000,,
64611814309,64611885879,71570,MPI_Waitall,118,118,,0,,,,,
64611833160,64611896060,62900,MPI_Waitall,119,119,,1,,,,,
64611886552,64611895501,8949,MPI_Waitall,118,118,,0,,,,,
64611896747,64611897402,655,MPI_Waitall,119,119,,1,,,,,
64619604044,64619605891,1847,MPI_Irecv,118,118,0,0,1,,8.000,,
64619606620,64619611870,5250,MPI_Isend,118,118,0,0,1,,8.000,,
64619626644,64619696820,70176,MPI_Waitall,118,118,,0,,,,,
64619627267,64619628278,1011,MPI_Irecv,119,119,0,1,0,,8.000,,
64619629024,64619635438,6414,MPI_Isend,119,119,0,1,0,,8.000,,
64619657884,64619716574,58690,MPI_Waitall,119,119,,1,,,,,
64619697775,64619715583,17808,MPI_Waitall,118,118,,0,,,,,
64619717501,64619717963,462,MPI_Waitall,119,119,,1,,,,,
64627408916,64627410261,1345,MPI_Irecv,118,118,0,0,1,,8.000,,
64627410794,64627415451,4657,MPI_Isend,118,118,0,0,1,,8.000,,
64627427116,64627518919,91803,MPI_Waitall,118,118,,0,,,,,
64627447296,64627448299,1003,MPI_Irecv,119,119,0,1,0,,8.000,,
64627448925,64627456612,7687,MPI_Isend,119,119,0,1,0,,8.000,,
64627470743,64627528810,58067,MPI_Waitall,119,119,,1,,,,,
64627520011,64627528044,8033,MPI_Waitall,118,118,,0,,,,,
64627529742,64627530266,524,MPI_Waitall,119,119,,1,,,,,
64635214486,64635215350,864,MPI_Irecv,118,118,0,0,1,,8.000,,
64635215725,64635220913,5188,MPI_Isend,118,118,0,0,1,,8.000,,
64635231727,64635338909,107182,MPI_Waitall,118,118,,0,,,,,
64635266093,64635267193,1100,MPI_Irecv,119,119,0,1,0,,8.000,,
64635267554,64635271840,4286,MPI_Isend,119,119,0,1,0,,8.000,,
64635284492,64635346892,62400,MPI_Waitall,119,119,,1,,,,,
64635339510,64635345911,6401,MPI_Waitall,118,118,,0,,,,,
64635347540,64635347976,436,MPI_Waitall,119,119,,1,,,,,
64643017452,64643018490,1038,MPI_Irecv,118,118,0,0,1,,8.000,,
64643018865,64643029287,10422,MPI_Isend,118,118,0,0,1,,8.000,,
64643046587,64643143992,97405,MPI_Waitall,118,118,,0,,,,,
64643073802,64643074731,929,MPI_Irecv,119,119,0,1,0,,8.000,,
64643075102,64643080251,5149,MPI_Isend,119,119,0,1,0,,8.000,,
64643093972,64643167293,73321,MPI_Waitall,119,119,,1,,,,,
64643144557,64643166352,21795,MPI_Waitall,118,118,,0,,,,,
64643167841,64643168256,415,MPI_Waitall,119,119,,1,,,,,
64650835228,64650837006,1778,MPI_Irecv,118,118,0,0,1,,8.000,,
64650837389,64650842606,5217,MPI_Isend,118,118,0,0,1,,8.000,,
64650859719,64650964705,104986,MPI_Waitall,118,118,,0,,,,,
64650889737,64650890987,1250,MPI_Irecv,119,119,0,1,0,,8.000,,
64650891511,64650903528,12017,MPI_Isend,119,119,0,1,0,,8.000,,
64650916504,64650977654,61150,MPI_Waitall,119,119,,1,,,,,
64650965220,64650974312,9092,MPI_Waitall,118,118,,0,,,,,
64650978192,64650978663,471,MPI_Waitall,119,119,,1,,,,,
64658640620,64658644277,3657,MPI_Irecv,118,118,0,0,1,,8.000,,
64658645050,64658652876,7826,MPI_Isend,118,118,0,0,1,,8.000,,
64658664624,64658773776,109152,MPI_Waitall,118,118,,0,,,,,
