Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
332726285,1567833055,1235106770,MPI_Init_thread,119,119,,1,,,,,
333664757,1567833337,1234168580,MPI_Init_thread,121,121,,3,,,,,
333858479,1567836946,1233978467,MPI_Init_thread,120,120,,2,,,,,
335450955,1568440941,1232989986,MPI_Init_thread,118,118,,0,,,,,
1568234752,1569843632,1608880,MPI_Recv,121,121,0,3,1,,0.000,,
1568258117,1569766717,1508600,MPI_Send,119,119,0,1,3,,0.000,,
1568262854,1570611379,2348525,MPI_Recv,120,120,0,2,0,,0.000,,
1568898949,1570567766,1668817,MPI_Send,118,118,0,0,2,,0.000,,
1569768316,1570619459,851143,MPI_Recv,119,119,0,1,0,,0.000,,
1569844818,1570632753,787935,MPI_Recv,121,121,0,3,2,,0.000,,
1570569155,1570579238,10083,MPI_Send,118,118,0,0,1,,0.000,,
1570624688,1570631711,7023,MPI_Send,120,120,0,2,3,,0.000,,
38156436435,38691596480,535160045,MPI_Barrier,119,119,,1,,,,,
38198736945,38691596879,492859934,MPI_Barrier,121,121,,3,,,,,
38383697489,38691597183,307899694,MPI_Barrier,120,120,,2,,,,,
38691382880,38691587415,204535,MPI_Barrier,118,118,,0,,,,,
38691601133,38691652945,51812,MPI_Barrier,118,118,,0,,,,,
38691636706,38691652763,16057,MPI_Barrier,120,120,,2,,,,,
38691641052,38691653108,12056,MPI_Barrier,121,121,,3,,,,,
38691641938,38691652689,10751,MPI_Barrier,119,119,,1,,,,,
38691826555,38691989487,162932,MPI_Irecv,118,118,0,0,2,,4.000,,
38691876497,38692021750,145253,MPI_Irecv,121,121,0,3,1,,4.000,,
38691878037,38692024426,146389,MPI_Irecv,120,120,0,2,0,,4.000,,
38691896507,38692021828,125321,MPI_Irecv,119,119,0,1,3,,4.000,,
38691990554,38692000592,10038,MPI_Irecv,118,118,0,0,1,,4.000,,
38692022729,38692029881,7152,MPI_Irecv,121,121,0,3,2,,4.000,,
38692023244,38692030815,7571,MPI_Irecv,119,119,0,1,0,,4.000,,
38692026314,38692035639,9325,MPI_Irecv,120,120,0,2,3,,4.000,,
38692047810,38695755593,3707783,MPI_Isend,118,118,0,0,2,,4.000,,
38692080148,38695715295,3635147,MPI_Isend,120,120,0,2,0,,4.000,,
38692086139,38695794288,3708149,MPI_Isend,119,119,0,1,3,,4.000,,
38692089021,38695777165,3688144,MPI_Isend,121,121,0,3,1,,4.000,,
38695719038,38695775423,56385,MPI_Isend,120,120,0,2,3,,4.000,,
38695759928,38695805941,46013,MPI_Isend,118,118,0,0,1,,4.000,,
38695780255,38695824510,44255,MPI_Isend,121,121,0,3,2,,4.000,,
38695797523,38695845924,48401,MPI_Isend,119,119,0,1,0,,4.000,,
38695879471,38711841360,15961889,MPI_Waitall,120,120,,2,,,,,
38695941604,38712558239,16616635,MPI_Waitall,121,121,,3,,,,,
38695945768,38714282613,18336845,MPI_Waitall,119,119,,1,,,,,
38695947516,38711972292,16024776,MPI_Waitall,118,118,,0,,,,,
38711847960,38712553995,706035,MPI_Waitall,120,120,,2,,,,,
38711977203,38714277407,2300204,MPI_Waitall,118,118,,0,,,,,
38712561654,38712564130,2476,MPI_Waitall,121,121,,3,,,,,
38713032748,38713034929,2181,MPI_Irecv,121,121,0,3,1,,4.000,,
38713035582,38713036355,773,MPI_Irecv,121,121,0,3,2,,4.000,,
38713036870,38713048302,11432,MPI_Isend,121,121,0,3,1,,4.000,,
38713041154,38713043267,2113,MPI_Irecv,120,120,0,2,0,,4.000,,
38713044114,38713044890,776,MPI_Irecv,120,120,0,2,3,,4.000,,
38713045591,38713054136,8545,MPI_Isend,120,120,0,2,0,,4.000,,
38713048986,38713056708,7722,MPI_Isend,121,121,0,3,2,,4.000,,
38713054546,38713062034,7488,MPI_Isend,120,120,0,2,3,,4.000,,
38713076586,38714877327,1800741,MPI_Waitall,121,121,,3,,,,,
38713082435,38714913790,1831355,MPI_Waitall,120,120,,2,,,,,
38714285806,38714288105,2299,MPI_Waitall,119,119,,1,,,,,
