Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
559889581,6240340330,5680450749,MPI_Init_thread,105,105,,0,,,,,
579701423,6240291551,5660590128,MPI_Init_thread,106,106,,1,,,,,
606877011,6240291497,5633414486,MPI_Init_thread,108,108,,3,,,,,
616447795,6240340314,5623892519,MPI_Init_thread,107,107,,2,,,,,
6240701023,6242522311,1821288,MPI_Recv,108,108,0,3,1,,0.000,,
6240717217,6242486060,1768843,MPI_Send,106,106,0,1,3,,0.000,,
6240794726,6242756939,1962213,MPI_Recv,107,107,0,2,0,,0.000,,
6240856163,6242699197,1843034,MPI_Send,105,105,0,0,2,,0.000,,
6242488279,6242754587,266308,MPI_Recv,106,106,0,1,0,,0.000,,
6242523741,6242793647,269906,MPI_Recv,108,108,0,3,2,,0.000,,
6242700675,6242715488,14813,MPI_Send,105,105,0,0,1,,0.000,,
6242782450,6242792978,10528,MPI_Send,107,107,0,2,3,,0.000,,
43212606911,43934898792,722291881,MPI_Barrier,106,106,,1,,,,,
43444777175,43941029813,496252638,MPI_Barrier,107,107,,2,,,,,
43444783270,43934902865,490119595,MPI_Barrier,105,105,,0,,,,,
43934740497,43934891963,151466,MPI_Barrier,108,108,,3,,,,,
43934904356,43942148254,7243898,MPI_Barrier,108,108,,3,,,,,
43934947921,43941096759,6148838,MPI_Barrier,106,106,,1,,,,,
43934957297,43941096860,6139563,MPI_Barrier,105,105,,0,,,,,
43941079661,43941096275,16614,MPI_Barrier,107,107,,2,,,,,
43941384317,43941567065,182748,MPI_Irecv,106,106,0,1,3,,4.000,,
43941400877,43941589869,188992,MPI_Irecv,105,105,0,0,2,,4.000,,
43941401702,43941596473,194771,MPI_Irecv,107,107,0,2,0,,4.000,,
43941568116,43941578523,10407,MPI_Irecv,106,106,0,1,0,,4.000,,
43941590872,43941605845,14973,MPI_Irecv,105,105,0,0,1,,4.000,,
43941598011,43941613698,15687,MPI_Irecv,107,107,0,2,3,,4.000,,
43941627613,44277855655,336228042,MPI_Isend,106,106,0,1,3,,4.000,,
