Start (ns),End (ns),Duration (ns),Event,Pid,Tid,Tag,Rank,PeerRank,RootRank,Size (MB),CollSendSize (MB),CollRecvSize (MB)
342439315,1436779488,1094340173,MPI_Init_thread,105,105,,0,,,,,
343067071,1436787737,1093720666,MPI_Init_thread,108,108,,3,,,,,
343076478,1436788038,1093711560,MPI_Init_thread,106,106,,1,,,,,
343366858,1436740663,1093373805,MPI_Init_thread,107,107,,2,,,,,
1437167715,1438932241,1764526,MPI_Recv,108,108,0,3,1,,0.000,,
1437187711,1439210275,2022564,MPI_Recv,107,107,0,2,0,,0.000,,
1437218842,1438888350,1669508,MPI_Send,106,106,0,1,3,,0.000,,
1437272168,1439144847,1872679,MPI_Send,105,105,0,0,2,,0.000,,
1438890633,1439211153,320520,MPI_Recv,106,106,0,1,0,,0.000,,
1438933741,1439246290,312549,MPI_Recv,108,108,0,3,2,,0.000,,
1439149235,1439162294,13059,MPI_Send,105,105,0,0,1,,0.000,,
1439235202,1439245683,10481,MPI_Send,107,107,0,2,3,,0.000,,
292371372852,292371575562,202710,MPI_Irecv,106,106,0,1,3,,4.000,,
292371577944,292371585237,7293,MPI_Irecv,106,106,0,1,0,,4.000,,
292371686140,292373737662,2051522,MPI_Isend,106,106,0,1,3,,4.000,,
292373740763,292373779275,38512,MPI_Isend,106,106,0,1,0,,4.000,,
292373851921,292799644070,425792149,MPI_Waitall,106,106,,1,,,,,
292433515934,292433669050,153116,MPI_Irecv,108,108,0,3,1,,4.000,,
292433670884,292433689824,18940,MPI_Irecv,108,108,0,3,2,,4.000,,
292433823360,292435909035,2085675,MPI_Isend,108,108,0,3,1,,4.000,,
292435912007,292435964355,52348,MPI_Isend,108,108,0,3,2,,4.000,,
292436028940,292758618507,322589567,MPI_Waitall,108,108,,3,,,,,
292751447503,292751669560,222057,MPI_Irecv,107,107,0,2,0,,4.000,,
292751681266,292751696184,14918,MPI_Irecv,107,107,0,2,3,,4.000,,
292751838523,292754033644,2195121,MPI_Isend,107,107,0,2,0,,4.000,,
292754039691,292754089487,49796,MPI_Isend,107,107,0,2,3,,4.000,,
292754164777,292798564777,44400000,MPI_Waitall,107,107,,2,,,,,
292758650658,292759469839,819181,MPI_Waitall,108,108,,3,,,,,
292760443313,292802308259,41864946,MPI_Barrier,108,108,,3,,,,,
292788816194,292788968496,152302,MPI_Irecv,105,105,0,0,2,,4.000,,
292788969716,292788982356,12640,MPI_Irecv,105,105,0,0,1,,4.000,,
292789119797,292791095928,1976131,MPI_Isend,105,105,0,0,2,,4.000,,
292791099847,292791140254,40407,MPI_Isend,105,105,0,0,1,,4.000,,
292791202628,292800614153,9411525,MPI_Waitall,105,105,,0,,,,,
292798568278,292800588863,2020585,MPI_Waitall,107,107,,2,,,,,
292799691378,292800606270,914892,MPI_Waitall,106,106,,1,,,,,
292800616752,292800622019,5267,MPI_Waitall,105,105,,0,,,,,
