gpu,case,ndiff,gpu_mean_sups,cpu_mean_sups,speedup
a100,size1024,0,1.098470e+11,1.268335e+09,86.607245
a100,size1536,0,1.122701e+11,1.240920e+09,90.473278
a100,size2048,0,1.151906e+11,1.238165e+09,93.033360
a100,size2500,0,1.030452e+11,1.238005e+09,83.234882
a100,strong_np1,0,3.002885e+10,3.911120e+08,76.778135
a100,strong_np2,0,5.856740e+10,7.464530e+08,78.460935
a100,strong_np4,0,1.145595e+11,1.299010e+09,88.189852
a100,weak_np1,0,3.227970e+10,3.615710e+08,89.276242
a100,weak_np2,0,5.536650e+10,7.011055e+08,78.970283
a100,weak_np4,0,9.437887e+10,1.381983e+09,68.292333
h100,size1024,0,1.658381e+11,5.981895e+08,277.233385
h100,size1536,0,1.702685e+11,5.998835e+08,283.835945
h100,size2048,0,1.665724e+11,6.031060e+08,276.191001
h100,size2500,0,1.510722e+11,5.984785e+08,252.427113
h100,strong_np1,0,5.599040e+10,1.557900e+08,359.396624
h100,strong_np2,0,1.000515e+11,2.851720e+08,350.846156
h100,strong_np4,0,1.767270e+11,5.995765e+08,294.753047
h100,weak_np1,0,5.997228e+10,1.817930e+08,329.893203
h100,weak_np2,0,9.528995e+10,3.062392e+08,311.161780
h100,weak_np4,0,1.594875e+11,6.070120e+08,262.741868
