case,a100_gpu_mean_sups,h100_gpu_mean_sups,h100_over_a100
size1024,1.098470e+11,1.658381e+11,1.509719
size1536,1.122701e+11,1.702685e+11,1.516597
size2048,1.151906e+11,1.665724e+11,1.446059
size2500,1.030452e+11,1.510722e+11,1.466077
strong_np1,3.002885e+10,5.599040e+10,1.864554
strong_np2,5.856740e+10,1.000515e+11,1.708314
strong_np4,1.145595e+11,1.767270e+11,1.542666
weak_np1,3.227970e+10,5.997228e+10,1.857895
weak_np2,5.536650e+10,9.528995e+10,1.721076
weak_np4,9.437887e+10,1.594875e+11,1.689864
