case,a100_mean_all_sups,h100_mean_all_sups,h100_over_a100_all,a100_mean_steady_sups,h100_mean_steady_sups,h100_over_a100_steady
size1024,109847000000.0,165838100000.0,1.509718972753011,131971000000.0,252040000000.0,1.90981351963689
size1536,112270100000.0,170268500000.0,1.516597028060009,131308000000.0,254466000000.0,1.937932189965577
size2048,115190650000.0,166572450000.0,1.446058772999371,137388000000.0,258814000000.0,1.883818091827525
size2500,103045200000.0,151072200000.0,1.46607702251051,138931000000.0,257533000000.0,1.8536755655685195
strong_np1,30028850000.0,55990400000.0,1.864553587633226,30122100000.0,56102900000.0,1.8625162256283592
strong_np2,58567400000.0,100051500000.0,1.708313840122662,59829200000.0,111467000000.0,1.8630869207677856
strong_np4,114559500000.0,176727000000.0,1.5426656017178846,127736000000.0,246793000000.0,1.9320551763011211
weak_np1,32279700000.0,59972275000.0,1.85789443520231,32546700000.0,61567633333.333336,1.89167053290605
weak_np2,55366500000.0,95289950000.0,1.7210759213603894,63646566666.666664,118029000000.0,1.8544440993674967
weak_np4,94378866666.66667,159487466666.66666,1.689864185696939,124964500000.0,226901500000.0,1.8157276666573308
