gpu,case,ndiff,n_samples,gpu_mean_all_sups,gpu_mean_steady_sups,gpu_median_sups,gpu_std_sups,gpu_cv_pct,gpu_min_sups,gpu_max_sups,warmup_ratio,cpu_mean_sups,speedup_all,speedup_steady
a100,size1024,0,2,109847000000.0,131971000000.0,109847000000.0,22124000000.0,20.140741212777773,87723000000.0,131971000000.0,1.2014074121277778,1268335000.0,86.607244931347,104.05058600448619
a100,size1536,0,2,112270100000.0,131308000000.0,112270100000.0,19037900000.0,16.95723082102893,93232200000.0,131308000000.0,1.1695723082102893,1240920000.0,90.4732778905973,105.81504045385681
a100,size2048,0,2,115190650000.0,137388000000.0,115190650000.0,22197350000.0,19.270097008741597,92993300000.0,137388000000.0,1.192700970087416,1238165000.0,93.03335985106993,110.96097854486275
a100,size2500,0,2,103045200000.0,138931000000.0,103045200000.0,35885800000.0,34.825299965452054,67159400000.0,138931000000.0,1.3482529996545205,1238005000.0,83.23488192697121,112.22167923392878
a100,strong_np1,0,2,30028850000.0,30122100000.0,30028850000.0,93250000.0,0.31053470246113324,29935600000.0,30122100000.0,1.0031053470246114,391112000.0,76.77813516332917,77.01655791691383
a100,strong_np2,0,2,58567400000.0,59829200000.0,58567400000.0,1261800000.0,2.1544408664205683,57305600000.0,59829200000.0,1.0215444086642056,746453000.0,78.46093457994006,80.1513290187058
a100,strong_np4,0,2,114559500000.0,127736000000.0,114559500000.0,13176500000.0,11.501883300817479,101383000000.0,127736000000.0,1.1150188330081747,1299010000.0,88.18985227211492,98.33334616361691
a100,weak_np1,0,4,32279700000.0,32546700000.0,32506800000.0,465341825.9731227,1.4415927842362932,31478700000.0,32626500000.0,1.0082714523369176,361571000.0,89.27624173398863,90.01468591231044
a100,weak_np2,0,4,55366500000.0,63646566666.666664,63629600000.0,14341519957.626528,25.902883436060662,30526300000.0,63680500000.0,1.1495501190551447,701105500.0,78.97028335963704,90.78029863788926
a100,weak_np4,0,3,94378866666.66667,124964500000.0,124629000000.0,43255484888.84258,45.8317485858514,33207600000.0,125300000000.0,1.3240729033265215,1381983333.3333333,68.29233348207288,90.42402826855124
h100,size1024,0,2,165838100000.0,252040000000.0,165838100000.0,86201900000.0,51.97955114054008,79636200000.0,252040000000.0,1.5197955114054007,598189500.0,277.2333850727905,421.338054245352
h100,size1536,0,2,170268500000.0,254466000000.0,170268500000.0,84197500000.0,49.449839518172766,86071000000.0,254466000000.0,1.4944983951817277,599883500.0,283.8359448126178,424.1923640173467
h100,size2048,0,2,166572450000.0,258814000000.0,166572450000.0,92241550000.0,55.37623418518488,74330900000.0,258814000000.0,1.553762341851849,603106000.0,276.1910012501948,429.13517690090964
h100,size2500,0,2,151072200000.0,257533000000.0,151072200000.0,106460800000.0,70.47014606261112,44611400000.0,257533000000.0,1.7047014606261113,598478500.0,252.42711308760465,430.3128683820722
h100,strong_np1,0,2,55990400000.0,56102900000.0,55990400000.0,112500000.0,0.20092730182316967,55877900000.0,56102900000.0,1.0020092730182317,155790000.0,359.3966236600552,360.1187495988189
h100,strong_np2,0,2,100051500000.0,111467000000.0,100051500000.0,11415500000.0,11.409624043617537,88636000000.0,111467000000.0,1.1140962404361754,285172000.0,350.84615600409575,390.876383375647
h100,strong_np4,0,2,176727000000.0,246793000000.0,176727000000.0,70066000000.0,39.64646035976393,106661000000.0,246793000000.0,1.3964646035976394,599576500.0,294.75304652533913,411.61219627520427
h100,weak_np1,0,4,59972275000.0,61567633333.333336,61446900000.0,2767236218.1199856,4.614192504986655,55186200000.0,61809100000.0,1.0266015977104976,181793000.0,329.89320270857513,338.6688889744563
h100,weak_np2,0,4,95289950000.0,118029000000.0,117785000000.0,39386375038.9332,41.33318890285197,27072800000.0,118517000000.0,1.2386300968780024,306239250.0,311.1617795563436,385.4143451566055
h100,weak_np4,0,3,159487466666.66666,226901500000.0,226842000000.0,95337852612.18243,59.777645607376314,24659400000.0,226961000000.0,1.422691730844472,607012000.0,262.7418678159026,373.8006826883159
